Date,FB,AMZN,ATVI,V,MSFT,HD,AIZ,FISV,MCD,GPN
2016-03-11,109.410004,569.609985,31.075312,70.854248,51.142818,124.252525,75.023842,98.139999,116.514572,60.113205
2016-03-14,109.889999,573.369995,31.952755,70.715759,51.239185,124.620087,74.859489,98.410004,117.808647,58.884171
2016-03-15,110.669998,577.02002,32.021767,71.131218,51.643936,125.461601,76.058311,98.809998,118.316696,58.424522
2016-03-16,112.18,574.27002,32.327396,71.586227,52.376339,126.177345,75.342888,99.919998,118.402954,59.03405
2016-03-17,111.019997,559.440002,32.140072,72.3479,52.675079,126.593254,75.893959,100.629997,118.057877,59.853409
2016-03-18,111.449997,552.080017,31.74572,72.980957,51.547573,127.047859,75.429893,101.580002,118.939751,59.303833
2016-03-21,111.849998,553.97998,31.587978,72.971069,51.904137,126.719002,75.729607,100.419998,118.680939,59.433731
2016-03-22,112.25,560.47998,32.080921,72.169838,52.106506,126.312767,76.000313,99.919998,118.690529,59.573627
2016-03-23,112.540001,569.630005,32.120361,73.109558,52.010139,125.954895,75.371887,100.309998,119.045197,59.623589
2016-03-24,113.050003,582.950012,31.755577,73.337067,52.241425,126.187019,74.61779,99.769997,118.182487,60.123192
2016-03-28,113.690002,579.869995,31.94442,73.277718,51.595753,126.786728,75.072174,99.510002,118.067459,60.043259
2016-03-29,116.139999,593.859985,33.037727,74.563637,52.723263,128.131195,74.550117,101.690002,118.83432,62.91103
2016-03-30,114.699997,598.690002,33.862675,75.948471,53.050919,129.050079,75.758614,102.080002,120.617264,62.731163
2016-03-31,114.099998,593.640015,33.634075,75.651726,53.224377,129.059723,74.588783,102.580002,120.47348,65.249214
2016-04-01,116.059998,598.5,34.210545,76.749702,53.552036,130.433243,75.516914,103.370003,121.757957,65.099327
2016-04-04,112.550003,593.190002,34.021702,76.987106,53.417118,130.433243,75.159187,102.419998,122.285179,64.71962
2016-04-05,112.220001,586.140015,33.504868,76.136406,52.578712,130.172089,74.811142,100.970001,122.10305,65.099327
2016-04-06,113.709999,602.080017,33.793102,77.362984,53.11837,131.003922,75.371887,101.760002,122.237251,70.804878
2016-04-07,113.639999,591.429993,33.216629,76.739807,52.482342,129.485336,74.530769,100.300003,122.831573,71.684196
2016-04-08,110.629997,594.599976,33.763287,77.184937,52.443787,129.243515,75.323555,100.459999,122.659019,72.143845
2016-04-11,108.989998,595.929993,33.206692,76.977211,52.337795,128.653503,76.009987,99.75,122.275597,72.233772
2016-04-12,110.610001,603.169983,33.276268,77.669624,52.665443,129.978638,77.054115,100.209999,122.323524,71.754135
2016-04-13,110.510002,614.820007,34.946045,78.846748,53.340027,129.456299,78.571999,100.290001,121.633362,75.621132
2016-04-14,110.839996,620.75,34.697563,79.46003,53.349663,129.968964,78.194954,99.669998,122.227676,75.241425
2016-04-15,109.639999,625.890015,34.359634,79.212738,53.629135,130.588013,78.156281,99.779999,122.486481,75.631134
2016-04-18,110.449997,635.349976,35.224339,80.567894,54.409718,132.319366,78.649353,100.830002,123.512161,76.860168
2016-04-19,112.290001,627.900024,34.995739,79.875481,54.342258,131.003922,78.813705,100.739998,123.521736,76.540421
2016-04-20,112.419998,632.98999,35.035496,80.271141,53.571312,130.7621,78.707359,99.559998,123.224586,75.940887
2016-04-21,113.440002,631.0,34.975861,79.915047,53.754406,130.191437,76.35804,98.410004,120.578926,74.212219
2016-04-22,110.559998,620.5,34.439148,78.253242,49.899666,131.21669,76.986443,98.040001,120.300934,73.233002
2016-04-25,110.099998,626.200012,34.707504,77.293747,50.217686,131.207031,76.35804,98.879997,122.179733,73.233002
2016-04-26,108.760002,616.880005,34.995739,77.679527,49.572006,130.907166,76.677063,98.900002,122.41938,73.133064
2016-04-27,108.889999,606.570007,34.160851,77.907036,49.090164,131.303741,82.497223,99.199997,122.984947,74.691849
2016-04-28,116.730003,602.0,33.693714,76.838737,48.087933,128.38269,81.781776,98.339996,122.620682,72.753372
2016-04-29,117.580002,659.590027,34.260242,76.403488,48.059025,129.504684,81.762444,97.720001,121.249916,72.123856
2016-05-02,118.57,683.849976,34.369576,77.610275,48.772156,131.593948,83.386681,99.099998,122.889069,73.203018
2016-05-03,117.43,671.320007,33.902435,76.354034,47.972294,130.133392,83.367348,98.690002,123.080788,73.003174
2016-05-04,118.059998,670.900024,34.071396,76.235329,48.059025,130.733093,83.193321,98.959999,123.972275,72.573509
2016-05-05,117.809998,659.090027,34.697563,76.522202,48.12648,130.259125,83.386681,99.25,123.924332,72.253754
2016-05-06,119.489998,673.950012,37.639553,76.878311,48.560143,131.255386,83.493027,102.639999,125.170502,72.803337
2016-05-09,119.239998,679.75,36.923935,77.372879,48.251762,131.777725,83.212662,103.620003,125.410126,72.983185
2016-05-10,120.5,703.070007,36.188438,78.34227,49.167263,133.006119,84.121452,105.550003,126.148247,74.24221
2016-05-11,119.519997,713.22998,36.884178,76.598251,49.196171,129.90126,83.522026,105.360001,123.790138,74.022346
2016-05-12,120.279999,717.929993,37.67931,77.182884,49.639469,129.794846,84.392159,105.239998,124.729538,74.322159
2016-05-13,119.809998,709.919983,38.056999,76.132515,49.22509,128.769592,84.121452,103.849998,123.492989,74.192238
2016-05-16,118.669998,710.659973,39.150303,77.093704,49.947849,130.907166,84.469498,104.25,124.269417,74.30217
2016-05-17,117.349998,695.27002,37.888031,76.09288,49.016239,127.67659,83.454353,103.150002,122.400215,74.102295
2016-05-18,117.650002,697.450012,38.235905,76.727074,49.307365,127.454124,85.039902,102.459999,120.981522,74.232216
2016-05-19,116.809998,698.52002,37.569977,76.18206,48.83186,127.415428,84.266472,101.779999,120.09964,74.152267
2016-05-20,117.349998,702.799988,37.30162,76.964882,49.122993,127.531502,84.788544,102.440002,117.482735,74.901779
2016-05-23,115.970001,696.75,37.500404,76.509064,48.550438,127.11557,84.247139,101.860001,117.722374,74.851814
2016-05-24,117.699997,704.200012,38.782555,78.65937,50.064304,128.99205,85.726334,104.370003,118.81514,77.170326
2016-05-25,117.889999,708.349976,38.712982,78.34227,50.578625,128.83728,84.827209,103.989998,118.153732,76.210938
2016-05-26,119.470001,714.909973,38.862068,78.282806,50.355423,129.659439,84.20491,104.260002,118.661781,76.320877
2016-05-27,119.379997,712.23999,39.100609,78.936821,50.772713,129.55304,85.031403,105.129997,118.144142,77.060402
2016-05-31,118.809998,722.789978,39.021091,78.223358,51.432602,128.454391,84.973068,105.330002,117.003441,77.640015
2016-06-01,118.779999,719.440002,38.414806,78.500824,51.287037,128.172424,84.059067,105.910004,116.917168,77.660011
2016-06-02,118.93,728.23999,38.454563,79.224174,50.927979,128.736328,83.300636,106.650002,117.004074,78.869225
2016-06-03,118.470001,725.539978,37.579918,79.214279,50.258389,128.08493,82.65889,106.059998,117.177895,76.011063
