Date,AMZN,EQIX,ATVI,AVY,V,FISV,GOOGL,GOOG,INFO,RTN
2016-03-14,573.369995,314.019989,31.952755,67.062584,70.715759,98.410004,750.23999,730.48999,29.030001,117.449196
2016-03-15,577.02002,312.470001,32.021767,66.849472,71.131218,98.809998,750.570007,728.330017,29.07,118.336334
2016-03-16,574.27002,316.76001,32.327396,67.033508,71.586227,99.919998,757.359985,736.090027,29.25,118.972755
2016-03-17,559.440002,316.980011,32.140072,67.614738,72.3479,100.629997,758.47998,737.780029,29.58,118.210976
2016-03-18,552.080017,315.76001,31.74572,68.254066,72.980957,101.580002,755.409973,737.599976,29.49,120.014183
2016-03-21,553.97998,317.390015,31.587978,68.7481,72.971069,100.419998,762.159973,742.090027,33.509998,119.146324
2016-03-22,560.47998,319.040009,32.080921,69.203392,72.169838,99.919998,760.049988,740.75,34.290001,119.348816
2016-03-23,569.630005,319.359985,32.120361,69.116203,73.109558,100.309998,757.559998,738.059998,33.580002,119.4356
2016-03-24,582.950012,320.75,31.755577,68.767464,73.337067,99.769997,754.840027,735.299988,34.310001,118.558113
2016-03-28,579.869995,323.769989,31.94442,69.038712,73.277718,99.510002,753.280029,733.530029,34.630001,118.01812
2016-03-29,593.859985,329.339996,33.037727,70.162399,74.563637,101.690002,765.890015,744.77002,34.950001,118.075974
2016-03-30,598.690002,328.109985,33.862675,70.133331,75.948471,102.080002,768.340027,750.530029,35.009998,119.339188
2016-03-31,593.640015,330.709991,33.634075,69.852409,75.651726,102.580002,762.900024,744.950012,35.349998,118.249542
2016-04-01,598.5,329.940002,34.210545,70.578934,76.749702,103.370003,769.669983,749.909973,35.25,118.828117
2016-04-04,593.190002,333.109985,34.021702,70.540184,76.987106,102.419998,765.119995,745.289978,35.240002,120.499496
2016-04-05,586.140015,328.640015,33.504868,69.80397,76.136406,100.970001,758.570007,737.799988,34.32,122.255302
2016-04-06,602.080017,327.410004,33.793102,70.73391,77.362984,101.760002,768.070007,745.690002,34.5,123.293251
2016-04-07,591.429993,325.809998,33.216629,69.329315,76.739807,100.300003,760.119995,740.280029,34.18,122.779129
2016-04-08,594.599976,325.98999,33.763287,69.474617,77.184937,100.459999,759.469971,739.150024,34.209999,122.643318
2016-04-11,595.929993,323.98999,33.206692,69.125893,76.977211,99.75,757.539978,736.099976,34.66,121.207634
2016-04-12,603.169983,322.130005,33.276268,69.368065,77.669624,100.209999,764.320007,743.090027,34.610001,122.264992
2016-04-13,614.820007,321.549988,34.946045,70.046143,78.846748,100.290001,771.909973,751.719971,35.07,121.779976
2016-04-14,620.75,320.75,34.697563,69.755547,79.46003,99.669998,775.390015,753.200012,35.255001,121.401657
2016-04-15,625.890015,324.100006,34.359634,70.317375,79.212738,99.779999,780.0,759.0,35.52,121.915787
2016-04-18,635.349976,325.589996,35.224339,71.092331,80.567894,100.830002,787.679993,766.609985,35.610001,122.565712
2016-04-19,627.900024,324.859985,34.995739,71.092331,79.875481,100.739998,776.25,753.929993,35.529999,122.478409
2016-04-20,632.98999,325.109985,35.035496,70.73391,80.271141,99.559998,774.919983,752.669983,35.029999,122.20681
2016-04-21,631.0,319.890015,34.975861,70.530487,79.915047,98.410004,780.0,759.140015,35.150002,122.5075
2016-04-22,620.5,322.01001,34.439148,71.218262,78.253242,98.040001,737.77002,718.77002,35.32,122.61422
2016-04-25,626.200012,326.820007,34.707504,70.511124,77.293747,98.879997,742.210022,723.150024,35.07,121.741173
2016-04-26,616.880005,330.109985,34.995739,70.462685,77.679527,98.900002,725.369995,708.140015,35.080002,124.370018
2016-04-27,606.570007,331.820007,34.160851,72.138519,77.907036,99.199997,721.460022,705.840027,34.860001,125.980278
2016-04-28,602.0,328.23999,33.693714,71.140778,76.838737,98.339996,705.059998,691.02002,34.889999,123.690971
2016-04-29,659.590027,330.350006,34.260242,70.336746,76.403488,97.720001,707.880005,693.01001,34.889999,122.565712
2016-05-02,683.849976,333.619995,34.369576,72.022278,77.610275,99.099998,714.409973,698.210022,35.369999,123.332054
2016-05-03,671.320007,332.890015,33.902435,72.816612,76.354034,98.690002,708.440002,692.359985,34.639999,122.342613
2016-05-04,670.900024,334.829987,34.071396,71.663872,76.235329,98.959999,711.369995,695.700012,34.93,122.924637
2016-05-05,659.090027,330.890015,34.697563,71.741364,76.522202,99.25,714.710022,701.429993,34.41,124.370018
2016-05-06,673.950012,336.959991,37.639553,72.526001,76.878311,102.639999,725.179993,711.119995,34.5,125.194542
2016-05-09,679.75,341.040009,36.923935,72.835983,77.372879,103.620003,729.130005,712.900024,34.400002,126.3489
2016-05-10,703.070007,341.109985,36.188438,74.056526,78.34227,105.550003,739.380005,723.179993,34.490002,128.007706
2016-05-11,713.22998,340.679993,36.884178,73.426888,76.598251,105.360001,730.549988,715.289978,34.16,126.775711
2016-05-12,717.929993,346.209991,37.67931,73.979042,77.182884,105.239998,728.070007,713.309998,33.889999,127.959183
2016-05-13,709.919983,344.369995,38.056999,73.213768,76.132515,103.849998,724.830017,710.830017,33.700001,126.407112
2016-05-16,710.659973,348.600006,39.150303,74.337448,77.093704,104.25,730.299988,716.48999,33.650002,127.396553
2016-05-17,695.27002,342.320007,37.888031,72.961906,76.09288,103.150002,720.190002,706.22998,33.5,125.951187
2016-05-18,697.450012,342.049988,38.235905,72.109467,76.727074,102.459999,721.780029,706.630005,33.990002,126.610832
2016-05-19,698.52002,343.049988,37.569977,72.283821,76.18206,101.779999,715.309998,700.320007,34.029999,125.359444
2016-05-20,702.799988,345.0,37.30162,71.014832,76.964882,102.440002,721.710022,709.73999,34.279999,125.466164
2016-05-23,696.75,344.660004,37.500404,71.150459,76.509064,101.860001,717.25,704.23999,34.470001,124.990845
2016-05-24,704.200012,354.730011,38.782555,72.16758,78.65937,104.370003,733.030029,720.090027,34.41,126.154907
2016-05-25,708.349976,357.730011,38.712982,72.564751,78.34227,103.989998,738.099976,725.27002,34.169998,125.892982
2016-05-26,714.909973,363.089996,38.862068,72.041656,78.282806,104.260002,736.929993,724.119995,33.900002,126.135498
2016-05-27,712.23999,366.559998,39.100609,72.733231,78.936821,105.129997,747.599976,732.659973,34.240002,126.319801
2016-05-31,722.789978,362.0,39.021091,72.45076,78.223358,105.330002,748.849976,735.719971,34.369999,125.786263
2016-06-01,719.440002,365.940002,38.414806,72.236473,78.500824,105.910004,748.460022,734.150024,33.82,127.309242
2016-06-02,728.23999,367.529999,38.454563,73.327415,79.224174,106.650002,744.27002,730.400024,33.900002,128.201691
2016-06-03,725.539978,364.690002,37.579918,73.785225,79.214279,106.059998,735.859985,722.340027,33.959999,129.850784
2016-06-06,726.72998,369.290009,37.53022,74.028732,79.80883,106.629997,730.059998,716.549988,33.759998,129.782867
