Date,CFG,PRU,PNC,RF,MTB,SCHW,HBAN,RJF,USB,KEY
2016-03-11,21.203386,70.198845,83.032974,7.965319,107.931168,27.78928,9.379633,46.355644,38.828598,10.845663
2016-03-14,21.377581,69.673904,82.475586,7.936319,108.173561,27.434525,9.303222,46.160259,38.857399,10.768332
2016-03-15,21.474354,69.120323,82.446754,7.839652,107.989349,27.335978,9.226809,45.271244,39.145298,10.797331
2016-03-16,20.913063,69.253944,81.389626,7.752653,107.291267,26.527922,9.120975,45.212631,38.90538,10.642669
2016-03-17,21.02919,70.017502,81.879745,7.84932,107.698471,27.266998,9.188323,46.111412,39.049332,10.758665
2016-03-18,21.367901,71.525505,82.802322,7.955651,109.1819,27.956804,9.303779,46.951572,39.653931,11.009991
2016-03-21,21.290483,71.153282,82.840767,7.936319,109.094635,27.868114,9.323021,47.127426,39.711514,11.048657
2016-03-22,21.22274,70.742874,82.50441,7.907319,109.017075,27.996222,9.332643,47.00042,39.653931,11.029323
2016-03-23,20.990479,69.511658,82.023903,7.810652,108.561378,27.621761,9.265294,46.277489,39.529163,10.884329
2016-03-24,20.893705,67.535965,81.495331,7.79132,107.863304,27.680883,9.226809,45.818333,39.135696,10.816663
2016-03-28,20.700153,68.729019,81.57222,7.781653,107.940865,27.680883,9.169081,45.96487,39.049332,10.806997
2016-03-29,20.516283,68.261337,81.178192,7.636653,107.766342,27.611902,9.169081,46.629189,39.005871,10.652336
2016-03-30,20.564672,69.626183,82.023903,7.636653,108.561378,27.759718,9.226809,46.84502,39.585316,10.777998
2016-03-31,20.274347,68.929443,81.2743,7.58832,107.620918,27.611902,9.178702,46.707672,39.19902,10.671667
2016-04-01,20.661446,69.912506,81.966225,7.626986,108.997673,27.966661,9.197946,46.884262,39.305252,10.604004
2016-04-04,20.816284,68.986694,81.995064,7.607653,108.764992,27.582338,9.149839,46.344681,39.285934,10.594337
2016-04-05,20.090475,67.955925,79.707817,7.404653,106.631966,26.991077,9.053625,45.147812,38.677525,10.439676
2016-04-06,20.651768,68.566742,80.534302,7.549653,107.494881,27.424671,9.178702,46.276009,38.716152,10.623337
2016-04-07,20.119507,66.820137,78.295105,7.346653,104.528015,26.005642,8.947792,43.636997,37.760078,10.304347
2016-04-08,20.196928,66.972839,78.631454,7.41432,105.546059,26.222437,8.976654,43.784153,38.030487,10.362345
2016-04-11,20.361444,68.280434,78.72757,7.50132,106.428345,26.646177,9.024761,44.255058,38.175343,10.526672
2016-04-12,20.816284,69.931602,79.630928,7.704319,108.057205,27.050205,9.207566,45.353828,38.880325,10.652336
2016-04-13,21.871132,72.31768,82.357819,8.119986,112.013008,28.203167,9.525067,47.541565,39.691544,11.116322
2016-04-14,22.084034,72.813995,81.893677,8.197317,112.682007,28.321415,9.61166,47.531757,39.865372,11.338647
2016-04-15,21.822742,72.546745,81.381172,8.44865,111.314919,28.114475,9.553932,46.727299,39.691544,11.309648
2016-04-18,21.987261,73.1576,82.203102,8.467985,112.284485,28.429811,9.582796,46.727299,39.797771,11.396646
2016-04-19,22.355009,73.968872,83.421501,8.680651,114.262383,28.350979,9.727115,47.394405,40.473782,11.580306
2016-04-20,22.606621,75.29554,84.842957,8.854651,116.599014,28.666319,9.890677,48.032085,41.265678,11.734968
2016-04-21,22.771139,75.009201,84.620552,8.864318,114.698677,28.705732,9.83295,52.211346,41.101513,11.879965
2016-04-22,22.858236,75.954094,85.181404,9.02865,115.416145,29.287138,9.861814,52.898083,41.816147,12.160289
2016-04-25,22.625977,75.257347,84.813957,8.989984,115.270721,29.198452,9.775221,52.486042,41.574711,11.995959
2016-04-26,22.790491,76.078178,85.94532,9.08665,115.98819,29.425104,9.871435,53.064865,41.883747,12.150622
2016-04-27,22.858236,76.020905,86.051689,9.270317,116.76384,29.464521,9.881057,52.84903,42.038269,12.150622
2016-04-28,22.490492,74.388817,85.278099,9.105984,115.513115,28.55792,9.736737,51.867985,41.651978,12.005627
2016-04-29,22.11307,74.102478,84.881645,9.067318,114.718079,27.996222,9.679008,51.181252,41.227051,11.879965
2016-05-02,22.434113,75.085548,85.007362,9.134983,115.328903,28.370689,9.804086,51.799309,41.497459,12.044292
2016-05-03,21.89904,73.940239,84.001694,8.931983,113.137695,27.592194,9.630903,50.386604,41.043568,11.783299
2016-05-04,21.393156,72.794907,82.551224,8.73865,110.645943,27.138895,9.486583,50.072666,40.290295,11.493308
2016-05-05,21.509897,72.374962,82.531876,8.73865,110.742889,27.138895,9.496203,50.043236,40.222694,11.473976
2016-05-06,21.490438,72.584938,82.783287,8.777317,111.198586,26.912245,9.505826,49.827408,40.34824,11.483642
2016-05-09,21.256954,72.184074,82.183769,8.748318,110.422935,26.872826,9.419234,49.40556,40.116463,11.406312
2016-05-10,21.753113,73.644356,83.730927,8.922318,112.265091,27.602049,9.61166,51.269543,40.618645,11.628638
2016-05-11,21.597454,72.73764,83.489182,8.912651,111.954834,27.453865,9.592419,50.24926,40.435154,11.560973
2016-05-12,21.169397,72.947617,83.334465,8.82565,111.605797,27.602049,9.515447,50.317928,40.50275,11.483642
2016-05-13,20.819168,71.964561,81.942009,8.690319,109.783028,27.197006,9.303779,49.454605,40.010235,11.280649
2016-05-16,21.120754,72.489487,82.628578,8.748318,110.578072,27.355072,9.409612,49.807789,40.261326,11.502975
2016-05-17,21.227766,72.451309,82.41584,8.864318,109.724854,27.582289,9.399992,49.837215,39.32457,11.541641
2016-05-18,22.502211,75.419609,85.461823,9.31865,113.186165,28.935719,9.900298,51.6031,40.193722,12.102291
2016-05-19,22.278454,74.255196,84.978325,9.154316,112.294182,28.609711,9.83295,50.592621,40.097149,11.976628
2016-05-20,22.356283,74.804169,85.278099,9.192984,112.846825,29.083902,9.842571,51.397079,40.309612,12.063624
2016-05-23,22.346554,74.351501,84.920319,9.154316,112.303871,28.92584,9.813707,51.328403,40.232349,12.063624
2016-05-24,22.618954,75.81543,86.090363,9.328317,114.213905,29.854467,9.986891,52.544907,40.831104,12.324616
2016-05-25,23.04701,76.749641,87.250748,9.521649,115.37738,30.269388,10.217801,53.270878,41.487797,12.52761
2016-05-26,22.716242,75.574646,86.535172,9.405648,114.86351,29.785315,10.063859,53.447468,41.207733,12.405982
2016-05-27,22.94973,76.605164,87.260422,9.540982,116.424026,30.25951,10.179316,54.340225,41.478146,12.532475
2016-05-31,22.910814,76.325867,86.776932,9.502316,116.550804,30.210117,10.054238,55.007336,41.3526,12.474094
2016-06-01,22.959455,75.911736,86.776932,9.598983,116.326477,30.437332,10.111966,55.14468,41.526428,12.542206
2016-06-02,23.183212,75.825066,87.038017,9.66665,117.116501,30.466972,10.160074,55.507671,41.58437,12.610316
2016-06-03,22.511942,73.311363,85.645561,9.405648,115.370674,28.866566,9.967648,54.291172,40.918022,12.367062
2016-06-06,22.832981,74.418915,86.960655,9.618315,117.018967,29.43955,10.131208,55.125061,41.410542,12.493555
2016-06-07,22.842714,73.985535,86.158058,9.502316,115.565735,29.143177,10.015754,54.271549,41.198082,12.347602
2016-06-08,22.823256,73.975899,86.544853,9.555837,116.092407,29.093784,9.958027,54.134201,41.342945,12.357332
2016-06-09,22.258999,72.377151,85.413475,9.439065,115.448692,28.738136,9.784843,53.202209,41.082199,12.104348
2016-06-10,21.850395,70.826553,84.127403,9.263907,114.648941,28.105879,9.573174,51.858177,40.522072,11.919475
2016-06-13,21.480713,70.422058,83.489182,9.108212,114.785477,27.799627,9.486583,51.269543,40.251667,11.754062
2016-06-14,20.731609,69.32412,81.622917,8.845474,112.669037,27.641563,9.120975,50.396416,39.778461,11.335663
2016-06-15,20.780254,69.121864,81.439186,8.855206,113.38102,28.115759,9.169437,51.014473,39.614285,11.345393
2016-06-16,20.371655,69.092972,81.100739,8.728703,113.234718,28.165154,9.024046,50.985043,39.652916,11.2189
2016-06-17,20.527311,69.526375,80.917023,8.845474,114.317322,28.036726,9.014354,51.053719,39.701202,11.306472
2016-06-20,20.731609,70.508728,81.245796,8.923323,114.50264,28.303461,8.994967,51.661964,39.80743,11.287013
2016-06-21,20.965096,70.999916,81.738945,8.923323,114.961044,28.036726,8.975581,51.42651,39.952293,11.316202
2016-06-22,20.789984,71.298477,81.961357,8.874668,114.434364,27.997211,8.93681,51.642342,39.932976,11.25782
2016-06-23,21.519629,74.110725,83.808296,9.19579,117.448097,29.330879,9.140361,52.95694,40.782818,11.666489
2016-06-24,19.408522,68.293594,78.402863,8.300538,109.860115,25.8337,8.345546,47.963417,38.494038,10.771311
2016-06-27,17.939507,64.460449,75.308517,7.697217,106.095375,23.7591,7.841517,46.119045,37.364128,10.012357
2016-06-28,18.455122,66.165138,76.362541,8.008609,108.79702,24.26293,8.112918,46.393738,37.991158,10.382105
2016-06-29,18.990194,67.552002,77.687294,8.193497,110.679375,24.99398,8.248619,47.763184,38.574444,10.528057
2016-06-30,19.43771,68.707726,78.702629,8.281077,115.312157,25.003857,8.665409,48.57106,39.206329,10.751853
2016-07-01,19.116667,68.38028,78.25782,8.135112,114.161285,24.806278,8.558788,47.910969,38.943859,10.66428
2016-07-05,18.387022,66.203667,76.227158,7.804258,110.084435,24.045591,8.248619,46.462704,37.971718,10.391835
2016-07-06,18.474579,66.588898,76.758995,7.969685,110.620857,24.371599,8.258311,47.172062,38.107819,10.508597
2016-07-07,18.892908,66.492592,76.865372,8.028071,111.381607,24.954466,8.316467,48.216385,38.136982,10.64482
2016-07-08,19.311239,68.370636,77.958054,8.212958,113.078682,25.418776,8.452168,49.300121,38.973019,10.790773
2016-07-11,19.573912,69.160393,78.383522,8.339461,113.654106,25.468174,8.578175,49.467606,39.177166,10.917266
