Date,O,T,SJM,NEM,SCG,GIS,AWK,TSN,CPB,REG
2016-03-11,55.660435,35.254993,124.304459,26.473444,63.756489,57.739029,65.756966,66.400772,61.323399,70.304329
2016-03-14,55.772442,35.218231,124.054932,25.927702,63.452755,57.578274,65.650749,65.93972,60.863396,70.513145
2016-03-15,55.875122,35.402042,123.287148,26.165846,64.098206,57.909233,66.220383,65.390388,61.007149,70.949745
2016-03-16,56.827232,35.631809,123.939766,27.336708,64.401932,58.051079,66.519669,65.772949,61.572559,71.680611
2016-03-17,57.471283,35.953472,124.678764,27.247406,64.658226,58.419865,67.552704,65.929916,61.687561,73.199272
2016-03-18,57.163269,35.438808,123.661438,27.57485,64.724663,58.429325,65.660416,65.90049,61.65881,70.72197
2016-03-21,56.724545,35.769661,123.171974,27.57485,64.772118,57.965969,65.216301,65.48848,61.630062,70.199921
2016-03-22,56.827232,35.503143,122.557739,27.177946,64.430405,57.483711,65.274231,65.419815,60.662148,69.896194
2016-03-23,57.321945,35.420429,123.584663,24.786606,64.81958,57.691746,65.216301,66.155525,60.786736,69.46907
2016-03-24,57.368618,35.732903,123.527084,25.203354,65.341621,58.022713,65.293541,65.615997,60.537563,69.592453
2016-03-28,57.975338,35.90752,124.381233,25.501032,65.303665,58.514435,64.820465,66.194771,60.738811,70.608063
2016-03-29,58.68475,36.256771,124.745918,26.741354,66.4142,59.516777,66.345886,66.410583,61.495892,71.547722
2016-03-30,58.253067,36.183239,124.937866,26.542902,65.968086,59.866653,66.239685,66.273247,61.486313,71.253487
2016-03-31,58.533981,35.999432,124.611565,26.374218,66.585052,59.90448,66.54863,65.390388,61.131733,71.044662
2016-04-01,58.290535,35.889145,127.183662,26.41391,67.486778,61.42691,67.09893,66.793152,62.444645,71.500275
2016-04-04,58.206253,36.174057,122.432983,26.096386,67.296936,61.805157,67.214798,66.47924,62.74173,71.566719
2016-04-05,58.861725,36.017811,120.935799,27.088642,66.214867,60.783894,66.66449,66.155525,61.716305,70.693481
2016-04-06,58.964737,35.952686,122.40419,27.525238,66.376228,60.651508,67.09893,66.744102,61.907978,70.683983
2016-04-07,58.665092,35.906162,122.576942,27.743534,65.996552,60.118145,67.38858,66.547913,61.495819,70.446701
2016-04-08,58.992817,35.822414,122.749695,28.874708,66.091476,60.289581,67.948532,66.812775,61.832863,70.902298
2016-04-11,58.992817,35.720062,122.634514,30.869146,65.635872,59.889557,67.6782,66.155525,61.524712,70.522629
2016-04-12,59.685753,35.980587,122.816864,30.392862,66.224365,60.441967,67.958191,67.067825,61.611374,71.262978
2016-04-13,59.067734,35.589806,123.056808,29.251766,66.119957,59.708591,67.958191,64.380005,60.484692,70.949745
2016-04-14,58.683819,35.747978,122.269829,28.457962,65.730782,59.156178,68.00647,63.428478,59.473564,70.380272
2016-04-15,59.002186,35.803806,123.229538,29.14262,66.262329,59.480007,68.798134,64.085716,59.723942,71.09214
2016-04-18,59.133289,35.96199,124.170097,29.231922,66.357254,59.556198,69.222931,64.536957,60.032093,71.32943
2016-04-19,59.264374,36.213207,124.314049,30.670696,66.328773,59.413334,69.705658,64.075912,59.531345,71.262978
2016-04-20,57.644409,36.027115,123.363907,30.214256,64.667694,58.70853,68.431252,62.457333,59.126896,70.123993
2016-04-21,55.275341,35.226929,119.56337,31.940788,63.01614,57.260815,65.901787,61.741234,57.615021,68.814148
2016-04-22,55.593719,35.422321,121.07016,30.988216,63.149017,57.67989,66.847923,61.868763,58.395027,69.620934
2016-04-25,56.483284,35.552589,122.29863,30.869146,63.490719,58.184685,68.354034,62.859528,58.780224,70.26635
2016-04-26,55.809082,35.440933,122.183456,31.722488,63.111053,57.822754,68.942955,63.448097,58.732071,70.532112
2016-04-27,55.668625,36.027115,122.788071,31.851479,63.652084,58.222786,69.676697,64.085716,59.358006,70.968742
2016-04-28,55.874386,35.952686,122.634514,32.734596,64.363968,58.3466,69.889099,64.272102,59.213562,70.541626
2016-04-29,55.620701,36.120159,121.866737,34.699268,65.199257,58.422798,70.246323,64.566391,59.425415,69.95314
2016-05-02,56.193832,36.380684,122.538551,34.074142,66.015549,59.260948,71.626915,65.4002,60.33062,71.272461
2016-05-03,57.039406,36.203903,121.713165,33.568092,66.138939,58.718056,71.375885,65.0961,59.820236,71.32943
2016-05-04,58.608437,36.175991,122.989624,32.099545,66.955238,58.803776,71.87793,65.419815,60.060986,73.332153
2016-05-05,58.636631,36.045723,123.210365,32.605595,66.452164,59.127602,71.02887,65.115715,60.725437,73.749779
2016-05-06,59.735897,36.278343,124.064522,33.865768,66.138939,59.156178,71.824547,65.969154,61.5536,74.480637
2016-05-09,60.168079,36.157379,124.208481,31.583574,66.319283,59.746689,72.086555,66.940292,62.535839,75.315895
2016-05-10,60.3372,36.576084,125.983986,32.774284,66.271828,60.699131,72.300034,67.950668,63.007698,75.11657
2016-05-11,59.444641,36.455128,125.848938,33.617702,66.233856,60.965816,72.309731,67.175728,63.036587,74.00605
2016-05-12,60.262024,36.799389,126.861824,32.952888,66.983704,61.642052,72.717278,67.342484,64.038086,74.689453
2016-05-13,59.773468,36.427216,125.955055,33.806232,66.812851,61.451557,72.494095,67.44059,63.652893,73.740295
2016-05-16,60.045937,36.548164,126.205856,35.145775,67.050148,61.499184,72.969566,67.048203,63.441032,74.772018
2016-05-17,58.721191,36.389992,123.225075,35.274773,65.313148,59.994324,71.155022,65.233429,61.44767,73.138435
2016-05-18,57.189743,35.775898,122.241127,33.26049,63.984291,59.422855,70.485489,64.340767,61.120258,72.020737
2016-05-19,55.479774,35.76659,122.588402,33.875687,64.876518,59.92765,71.222954,63.781624,61.611374,72.001633
2016-05-20,55.611309,35.775898,122.125359,33.468864,64.933479,59.480007,71.232651,63.477524,57.682426,72.775429
2016-05-23,55.479774,35.654934,122.453354,33.568092,64.297523,59.718113,70.980362,63.742382,57.682426,72.555702
2016-05-24,55.836811,35.822414,123.408363,31.494268,65.246704,59.432384,71.785751,63.860092,58.655033,73.453697
2016-05-25,55.789829,35.934071,124.237961,32.129318,65.028397,59.394283,71.106514,63.546196,58.404655,72.918724
2016-05-26,56.278389,36.138771,124.893921,32.19878,65.88266,59.880032,71.785751,63.899338,58.992077,73.444145
2016-05-27,56.465973,36.278343,124.652763,31.712564,66.167404,59.880032,71.9216,63.977993,58.92466,73.74984
2016-05-31,56.645081,36.427216,124.585236,32.159081,66.357254,59.794315,71.902184,62.709641,58.327618,73.176651
2016-06-01,57.361507,36.036419,125.135101,32.40715,66.623032,60.16576,73.008377,63.230747,58.799484,73.539665
2016-06-02,58.021381,36.138771,125.791046,32.099545,66.509125,60.222908,72.969566,61.549442,58.481701,73.998207
2016-06-03,59.435383,36.483036,127.064392,35.125938,67.534225,60.661034,74.192192,62.149212,59.406155,74.724258
2016-06-06,58.982903,36.604004,127.266968,35.155704,67.382362,60.556267,73.580879,59.858315,59.146156,74.131966
2016-06-07,59.56736,37.022701,127.845757,34.703907,67.154564,60.975334,73.716728,59.818977,59.415783,74.227493
2016-06-08,59.869019,37.087833,128.019424,35.130878,67.752663,61.356312,74.434769,58.757103,59.415783,75.163689
2016-06-09,60.312065,37.301838,138.167587,35.647221,68.585213,62.232563,75.172226,60.251595,60.195797,76.03302
2016-06-10,60.613735,37.525146,139.141907,35.537994,68.499084,62.299236,75.201347,59.553516,60.378765,76.04258
2016-06-13,60.44405,37.394886,139.122589,35.637287,68.355545,61.765862,75.356606,58.924252,59.820236,75.794205
2016-06-14,60.651428,37.571671,138.987534,34.9025,69.140251,61.946831,75.70591,59.27821,60.109131,75.689125
2016-06-15,60.707996,37.487926,138.447342,35.984825,67.963188,61.803967,75.502136,59.347034,59.521717,76.090347
2016-06-16,61.339584,37.674019,140.260864,35.359257,68.36512,62.651646,76.346344,60.458073,60.426914,75.966156
2016-06-17,60.44405,37.897327,139.604919,35.398979,68.34597,62.68021,75.851456,60.192604,60.128387,75.459839
2016-06-20,60.095257,37.943848,140.029358,35.08123,68.288559,62.746872,75.29837,60.261433,60.099499,75.488495
2016-06-21,60.64201,38.21368,140.839691,34.584755,68.441673,63.356434,75.832077,61.13649,60.523209,75.593582
2016-06-22,60.670292,38.427681,141.891159,35.468487,68.403404,63.242161,75.938797,61.628109,60.272839,75.010841
2016-06-23,60.802258,38.96735,141.379898,35.140808,68.278984,63.594555,76.598633,62.296688,60.320992,75.450294
2016-06-24,61.98061,38.632385,140.193359,36.928127,69.130676,62.994514,77.559265,62.503166,60.089874,74.991753
2016-06-27,63.130665,39.106907,141.563171,37.42461,70.231186,63.042145,79.286476,64.145134,61.216557,75.469398
2016-06-28,64.290146,39.097614,141.785034,36.908272,70.757515,62.632587,79.684319,63.122589,60.426914,77.77169
2016-06-29,64.725052,39.581444,143.839752,37.42461,70.776642,64.632721,79.878372,63.152096,60.494324,79.195099
2016-06-30,65.575943,40.204849,147.023117,38.844543,72.403473,67.928169,82.003426,65.669136,64.066971,79.988007
2016-07-01,65.840675,40.446766,146.280334,40.055954,72.374763,68.518677,81.605583,64.912048,63.614365,79.997559
2016-07-05,67.570839,40.335106,146.753021,40.095669,72.767128,68.680603,82.246017,65.570808,64.702545,81.287231
2016-07-06,67.325012,40.551506,147.640488,41.128342,72.843689,69.109184,81.576477,66.524544,65.049225,80.723595
2016-07-07,65.367966,39.798813,147.794861,40.671589,71.035027,69.051666,80.130676,66.524544,64.654495,79.816048
2016-07-08,66.095932,40.090485,148.634079,40.850319,71.848442,69.473534,80.887535,67.763382,64.915703,80.207726
2016-07-11,66.672653,39.996391,147.83342,40.770885,71.647484,68.850327,80.305336,67.32093,64.538399,80.398788
2016-07-12,66.247223,39.902309,146.492554,39.678623,70.374733,68.476387,78.878929,67.507751,64.306213,78.029617
2016-07-13,66.937393,40.071667,147.283569,40.592148,71.054169,68.974968,79.567871,68.048515,64.54808,78.812981
2016-07-14,66.502472,40.241028,146.145279,41.326939,70.499115,69.118774,79.305885,68.677773,64.364258,78.106056
2016-07-15,66.029739,40.353928,147.360748,41.038982,70.326874,69.051666,79.170021,68.402473,64.45134,77.838562
2016-07-18,66.162125,40.316292,147.341461,41.336868,70.709656,69.300957,79.03418,68.71711,64.402954,77.82901
