Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow
2015-12-31,112.5,112.720001,111.349998,111.370003,109.201385,708200,109.201385,107.477376208,103.641724562,0.0,0.0,0.0,0.0,0.0,0.0,-0.0172399003914,-0.0113136477161,-0.0192152050086,-0.0545927233432,-0.0819790335077,-0.0856604520172,-0.0803626345948,-1,-1,0
2016-01-04,109.919998,110.239998,108.349998,109.449997,107.318764,1198500,108.2600745,107.477376208,103.641724562,1.14230892688,3.020005,0.0,3.0,0.0,0.0,0.0060302129458,-0.0020099560595,-0.0380080784382,-0.0658748082488,-0.0696208074107,-0.0642300539354,-0.0768386691446,1,0,0
2016-01-05,110.169998,110.769997,109.160004,110.110001,107.965919,1078000,108.162022667,107.477376208,103.641724562,0.302182117803,1.609993,0.529999,0.0,0.0,0.0,-0.00799197569003,-0.0437743228954,-0.0714740176481,-0.0751975630384,-0.069839122103,-0.0823721604222,-0.0603940582398,-1,0,0
2016-01-06,108.419998,109.68,108.239998,109.230003,107.103058,575100,107.8972815,107.477376208,103.641724562,0.0985720822853,1.870003,0.0,0.920006,0.0,0.0,-0.0360706227454,-0.0639934762647,-0.0677470198843,-0.0623454094093,-0.0749794184215,-0.0528242526931,-0.0583173264763,-1,-1,-1
2016-01-07,107.339996,108.440002,105.139999,105.290001,103.239784,1087900,106.965782,106.820260581,103.641724562,0.716131109143,4.090004,0.0,3.099999,0.0,0.0,-0.0289677378635,-0.0328617405864,-0.0272579996874,-0.0403647783688,-0.0173805574797,-0.0230791842804,-0.0135815181481,-1,-1,-1
2016-01-08,105.75,105.93,102.040001,102.239998,100.249161,1421200,105.846345167,104.639232514,103.641724562,-0.67173870034,3.889999,0.0,3.099998,0.0,1.2585222753,-0.00401016822475,0.00176074291534,-0.011737035884,0.0119328479966,0.00606422032799,0.0158452198917,-0.00547730269783,-1,0,0
2016-01-11,103.019997,103.120003,100.75,101.830002,99.847145,1380100,104.989316571,101.688947789,103.641724562,-0.739967105569,2.370003,0.0,1.290001,0.0,1.34628673459,0.00579414664285,-0.00775797845797,0.0160072078175,0.0101149512087,0.019935332152,-0.00147304161776,0.00775805858044,1,0,0
2016-01-12,102.470001,103.150002,100.959999,102.419998,100.425674,1186100,104.41886125,100.158551898,103.641724562,0.124383477606,2.190003,0.029999,0.0,0.0,1.4319178009,-0.0134740544534,0.0101542260996,0.00429591341354,0.0140597214214,-0.0072253236757,0.00195259829673,0.0236280614856,-1,-1,0
2016-01-13,102.839996,103.730003,100.629997,101.040001,99.072533,1011400,103.824824778,99.8805381367,103.641724562,-0.648458868202,3.100006,0.580001,0.0,0.0,1.36036089244,0.0239509975989,0.0180126715848,0.0279098345048,0.006334076469,0.0156373512727,0.0376088597634,0.0306808951781,1,1,1
2016-01-14,101.0,104.150002,100.349998,103.459999,101.445419,1263200,103.5868842,100.199997337,103.641724562,1.98049427186,3.800004,0.419999,0.0,0.0,1.27709530649,-0.00579942402328,0.00386623668044,-0.0172048478601,-0.00811918377507,0.0133383943143,0.00657248012352,0.0134350374165,-1,0,0
2016-01-15,100.68,103.300003,100.510002,102.860001,100.857094,953700,103.338721455,100.133979866,103.641724562,-0.0346149585999,2.949997,0.0,0.0,1.09236980496,1.06819226858,0.00972204295317,-0.0114719545657,-0.00233329149856,0.019249454084,0.0124440726004,0.01934666093,0.00116668045185,1,0,0
2016-01-19,103.940002,104.300003,102.93,103.860001,101.837631,1054400,103.213630583,101.337766381,102.893497095,0.740922938014,1.440002,1.0,0.0,1.01786767728,0.829483454472,-0.0209899324936,-0.0119392604488,0.00943567707305,0.00269582076197,0.00953194796921,-0.00847298775047,-0.0201233667739,-1,-1,-1
2016-01-20,102.199997,102.82,98.400002,101.68,99.700066,886500,102.943356385,100.942729167,101.820686571,0.387636895193,5.459999,0.0,4.529998,1.01786767728,0.853538265827,0.00924471805264,0.0310779332884,0.0241935747565,0.0311762682283,0.0127853074841,0.000885144850355,0.0405194014616,1,0,0
2016-01-21,102.0,103.32,100.879997,102.620003,100.621765,863000,102.777528429,100.954435146,100.826121246,0.530102634393,2.440003,0.5,0.0,1.05230902264,1.10284000811,0.021633222196,0.0148119246368,0.0217306563843,0.00350815750449,-0.00828299920996,0.0309882061798,0.0419022464971,1,1,1
2016-01-22,103.870003,104.870003,103.709999,104.839996,102.798538,708800,102.778929067,100.56052698,100.517022523,2.30644033994,2.25,1.550003,0.0,1.00173371281,1.10284000811,-0.00667685565723,9.5371006152e-05,-0.0177412639857,-0.0292827413557,0.00915689092777,0.0198398249594,-0.0103967529188,-1,0,0
2016-01-25,104.629997,104.699997,103.720001,104.139999,102.112167,1024000,102.737256438,101.568157959,100.65594373,0.0536329625557,1.119995,0.0,0.0,0.87679486085,1.16014184123,0.00681774778122,-0.0111387803571,-0.0227578364878,0.0159401768449,0.0266949187358,-0.00374490142786,-0.00931444340027,1,0,0
2016-01-26,104.309998,105.379997,104.010002,104.849998,102.808342,691100,102.741437941,102.589514371,100.921769706,0.56823059482,1.369995,0.68,0.0,0.810904347793,1.16014184123,-0.0178349340562,-0.0293753108089,0.00906065579776,0.0197425710844,-0.010491123376,-0.0160229507446,-0.0112541548428,-1,-1,0
2016-01-27,104.709999,105.18,102.470001,102.980003,100.974762,827800,102.643289278,102.114103561,101.011737145,-0.201055229424,2.709999,0.0,1.540001,0.843855111524,1.20728372647,-0.011749936088,0.0273839813557,0.0382598673518,0.00747716543269,0.00184488674507,0.00670027823388,-0.0301030667445,-1,-1,0
2016-01-28,103.559998,103.68,101.650002,101.769997,99.788315,931500,102.493027474,101.682371093,101.280910839,-0.741261282994,2.029998,0.0,0.819999,0.843855111524,0.934535830899,0.0395992055783,0.0506044019282,0.0194557048087,0.0137564603631,0.0186695807019,-0.0185713427469,-0.0773312887386,1,1,1
2016-01-29,102.760002,105.860001,102.220001,105.800003,103.739853,1238100,102.55536875,101.125492413,101.393901467,4.07105784657,4.090004,2.180001,0.0,0.843855111524,0.817929590823,0.0105859991917,-0.0193762179324,-0.0248583733775,-0.0201323979127,-0.055954783356,-0.112476513727,-0.118903629061,1,1,0
2016-02-01,105.050003,107.389999,104.739998,106.919998,104.838043,986600,102.664067524,101.943095338,101.686573921,0.875039212479,2.650001,1.529998,0.0,0.872738769256,0.893145612552,-0.0296483596131,-0.0350730888786,-0.0303966185252,-0.0658437605517,-0.121773419597,-0.128133210194,-0.115974560876,-1,-1,-1
2016-02-02,106.010002,106.510002,103.290001,103.75,101.729767,854600,102.621599318,103.702685742,101.662601154,0.284078622197,3.629997,0.0,1.449997,0.953759546807,1.08575712936,-0.00559047776056,-0.000771121396553,-0.0373013240068,-0.0949398714341,-0.101493980616,-0.0889638329753,-0.0992770778685,-1,0,0
2016-02-03,104.489998,104.839996,100.870003,103.169998,101.161049,766700,102.55809713,103.198082189,101.977493553,-0.385207995806,3.969993,0.0,2.419998,0.953759546807,1.08575712936,0.00484645033683,-0.0318891216717,-0.0898517076469,-0.0964426634208,-0.0838420724562,-0.0942132974521,-0.0552485077532,1,0,0
2016-02-04,103.120003,104.160004,102.599998,103.669998,101.651321,576200,102.520314792,101.540442819,102.19619356,0.23877942871,1.560006,0.0,0.0,0.814247329294,1.16492456649,-0.0365583935697,-0.0942414216142,-0.10080058871,-0.088260771348,-0.0985819751423,-0.0598051155676,-0.0434069715631,-1,-1,-1
2016-02-05,103.269997,103.760002,99.529999,99.879997,97.935112,1049000,102.33690668,100.710589949,101.84492548,-0.0734663460652,4.230003,0.0,3.069999,0.814247329294,1.16492456649,-0.0598718465753,-0.0666799053643,-0.0536642567989,-0.0643771051183,-0.0241288333851,-0.00710845156332,0.0191230495555,-1,-1,-1
2016-02-08,99.120003,99.300003,92.809998,93.900002,92.071556,1683700,101.9420855,98.7247794023,101.234462307,0.646721124161,7.069999,0.0,6.720001,0.895422546039,1.28106004619,-0.00724162845689,0.00660291871248,-0.00479217490362,0.0380192988158,0.0561236197637,0.0840256680358,0.074440981534,-1,0,0
2016-02-09,92.650002,94.220001,92.260002,93.220001,91.404808,1661300,101.551815963,94.917101166,100.391842406,-0.553689463782,1.959999,0.0,0.549996,1.16375755377,1.62627964992,0.0139455355565,0.00246732097506,0.0455910809418,0.063827462993,0.0919330414216,0.0822784398825,0.0833510968044,1,1,0
2016-02-10,93.940002,95.510002,93.010002,94.519997,92.679497,1549200,101.234947429,91.9800075882,99.8449377787,1.00092378438,2.5,1.290001,0.0,1.17983884191,1.57328701826,-0.0113203462898,0.0312103010227,0.0491958647553,0.0769148865795,0.0673930718463,0.068450975732,0.0935252917913,-1,-1,0
2016-02-11,93.959999,96.629997,91.720001,93.449997,91.630333,1635800,100.903753828,91.8384078741,99.3811088937,-0.328362325533,4.909996,0.0,1.290001,1.17983884191,1.5387599292,0.0430176216865,0.0612091194736,0.0892455230955,0.0796146839279,0.0806847007748,0.106046116846,0.103691699996,1,1,1
2016-02-12,95.300003,99.139999,95.300003,97.470001,95.572052,1402600,100.726030433,92.896149753,98.3978239278,4.07144773991,5.690002,2.510002,0.0,1.19506894104,1.54602703448,0.0174412180666,0.0443213043077,0.0350876739572,0.0361135596419,0.0604289839879,0.0581716713585,0.0715091269569,1,1,0
2016-02-16,98.970001,99.940002,97.610001,99.169998,97.238945,1327800,100.613543806,93.8862303294,97.2027239231,1.31089527257,2.470001,0.800003,0.0,1.19506894104,1.2585222753,0.0264193014435,0.017343956169,0.0183522558785,0.0422508594679,0.0400322422256,0.0531410640048,0.074215963573,1,1,1
2016-02-17,100.089996,101.959999,99.489998,101.790001,99.80793,1054600,100.588368375,96.8733592316,96.5598747946,2.442989019,2.790001,2.019997,0.0,1.16996820336,1.30888573858,-0.00884175235375,-0.00785940556026,0.0154240650016,0.0132625533863,0.0260339634336,0.0465664101039,0.0449947113421,-1,0,0
2016-02-18,102.220001,102.550003,100.410004,100.889999,98.925453,768100,100.537977,98.3423630723,95.8902188896,-0.22518610151,2.139999,0.590004,0.0,1.11793366953,1.44541234323,0.00099110994215,0.0244822836444,0.0223014899917,0.0351868290156,0.0559024379701,0.054316718671,0.0395479614331,1,0,0
2016-02-19,100.440002,101.139999,99.790001,100.989998,99.023499,1542500,100.493433529,99.3906785918,95.0616290717,0.00696095076401,1.349998,0.0,0.620003,1.09482048509,1.48021879395,0.023467914419,0.0212892800324,0.0341618609134,0.0548569587508,0.0532728095177,0.038518675249,0.057789272827,1,1,1
2016-02-22,101.830002,103.669998,101.830002,103.360001,101.347374,923200,100.517831829,99.4068336659,94.9207303363,2.43873896262,2.68,2.529999,0.0,1.08062652299,1.23086541802,-0.00212867873617,0.0104487364419,0.0306692998281,0.0291214748199,0.0147056498968,0.0335343765296,0.0384841643751,-1,0,0
2016-02-23,103.260002,103.800003,102.080002,103.139999,101.131638,624200,100.534882,100.130180146,95.7780712613,0.0142999727008,1.720001,0.130005,0.0,1.07736779626,1.11946493314,0.0126042455675,0.0328679438575,0.0313168169985,0.016870239954,0.0357391323969,0.0406994792273,0.0419637818978,1,1,0
2016-02-24,102.449997,104.540001,101.290001,104.440002,102.406326,788900,100.585461568,101.478408668,96.9264872434,0.656524206749,3.25,0.0,0.790001,1.08206700619,0.907732477855,0.0200114688227,0.018479649392,0.00421289403547,0.0228469186562,0.0277455222835,0.0289940877285,0.0340848279236,1,1,1
2016-02-25,103.800003,106.580002,103.800003,106.529999,104.455627,924600,100.687308026,102.142554916,98.1047367817,1.72048641339,2.779999,2.040001,0.0,1.10788802518,0.968129684288,-0.00150176686987,-0.0154886246578,0.00277982152173,0.00758232009847,0.00880639010477,0.0137972557476,-0.00108105234005,-1,0,0
2016-02-26,106.730003,107.080002,105.93,106.370003,104.298759,629900,100.779909333,103.388467998,99.5962099425,0.0685320872072,1.150002,0.5,0.0,1.17201883865,1.19013667694,-0.0140078943796,0.00428802801,0.00909774966738,0.0103236607063,0.0153220327387,0.000421347295225,-0.000333043272356,-1,-1,0
2016-02-29,106.029999,106.529999,104.779999,104.879997,102.837753,652900,100.831355425,104.105989488,100.488149185,-0.138470883523,1.75,0.0,1.150001,1.07114525358,1.09114644978,0.0185558507876,0.0234339036949,0.0246772311332,0.0297466145531,0.0146342365143,0.013869128393,0.0211383556776,1,1,0
2016-03-01,105.589996,107.089996,105.18,106.489998,104.745995,637900,100.926834439,103.933274644,101.302935544,1.47333640715,2.209999,0.559997,0.0,0.976350024863,1.09114644978,0.00478918549583,0.00600986223865,0.0109868926253,-0.00385017107337,-0.00460134060496,0.00253545732226,0.00272322583789,1,0,0
2016-03-02,105.989998,107.040001,105.410004,107.0,105.247643,595200,101.029710833,103.872976769,101.792343667,0.245105683435,1.629997,0.0,0.0,0.880813477993,1.09221799853,0.00121485855983,0.00616816663533,-0.0085981782984,-0.00934576748669,-0.00224298609709,-0.00205611255351,0.0135513343515,1,0,0
2016-03-03,106.699997,107.169998,105.919998,107.129997,105.375504,513100,101.130775791,105.017391662,102.50124217,0.0450685950986,1.25,0.129997,0.0,0.863322562658,0.739938725138,0.00494729780842,-0.0098011298717,-0.0105478119469,-0.00345364896191,-0.00326700216779,0.0123215069035,0.0240829215868,1,0,0
