Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow
2016-02-04,12.89,13.59,12.89,13.25,12.897613,174899200,14.0762425833,12.8219650142,13.0704174656,0.197647058824,0.7,0.3,0.0,0.212187604404,0.303571831534,-0.0226415539061,-0.0739623680754,-0.079245283604,-0.0958492086869,-0.157736008981,-0.0981134261045,-0.0754717171309,-1,-1,-1
2016-02-05,13.32,13.39,12.89,12.95,12.605591,125842800,14.01741652,12.7347390915,13.0210193026,-0.0624858757062,0.5,0.0,0.0,0.212187604404,0.303571831534,-0.0525097157285,-0.0579150156466,-0.0749035884156,-0.13822406264,-0.0772202588518,-0.0540540304695,-0.0301157637115,-1,-1,-1
2016-02-08,12.67,12.7,12.13,12.27,11.943675,221363600,13.9376572308,12.6301637632,13.0299612247,0.339441535777,0.82,0.0,0.76,0.212187604404,0.280269040437,-0.00570486052241,-0.0236349364831,-0.0904646183022,-0.026079996316,-0.00162990034474,0.0236350202094,-0.0024449761066,-1,0,0
2016-02-09,11.99,12.43,11.96,12.2,11.875538,246411200,13.8612824444,12.266226935,12.9763382256,-0.0187387387387,0.47,0.0,0.17,0.305351369447,0.299748219871,-0.0180329514334,-0.0852460747463,-0.0204920400238,0.00409834063939,0.029508221017,0.0032785883048,-0.00573776110185,-1,-1,0
2016-02-10,12.42,12.54,11.91,11.98,11.661387,227530000,13.78271475,11.8701466428,12.8955369149,-0.128693528694,0.63,0.11,0.0,0.34044411484,0.303571831534,-0.0684474325395,-0.00250424756506,0.022537713567,0.0484142237969,0.0217029072099,0.012520980566,0.0467446110827,-1,-1,-1
2016-02-11,11.46,11.55,10.99,11.16,10.863195,375088700,13.6820416552,11.6211281769,12.7302164345,0.688,0.99,0.0,0.92,0.350248018334,0.322344707682,0.0707884742932,0.0976704367362,0.125448268212,0.0967742915413,0.0869177069914,0.123655977822,0.089605958468,1,1,1
2016-02-12,11.48,12.03,11.4,11.95,11.632184,245388400,13.6137130667,11.4107444899,12.4857922657,0.816296296296,0.87,0.48,0.0,0.499687082618,0.543959310633,0.0251048298411,0.0510463039443,0.0242679276738,0.0150629494857,0.0493724996097,0.0175734840508,0.0150629494857,1,1,1
2016-02-16,12.38,12.39,12.11,12.25,11.924208,194306700,13.5592129032,11.2971171495,12.260180553,0.216544502618,0.44,0.36,0.0,0.491361693834,0.33334207326,0.0253061670846,-0.000816406422968,-0.00979595458248,0.0236733542387,-0.0073469030396,-0.00979595458248,0.0057143417827,1,1,1
2016-02-17,12.57,12.69,12.47,12.56,12.225964,221859400,13.517548875,11.8325278717,12.1499462092,0.268683473389,0.44,0.3,0.0,0.440909082065,0.272303098831,-0.0254778273517,-0.0342357461547,-0.00159251245955,-0.0318471410516,-0.0342357461547,-0.0191082682723,0.0111463603197,-1,-1,-1
2016-02-18,12.71,12.74,12.1,12.24,11.914473,161539400,13.4689708182,12.0150923402,12.0428991734,-0.104941176471,0.64,0.0,0.37,0.414973347971,0.329697869649,-0.00898688511024,0.0245097705958,-0.00653583251227,-0.00898688511024,0.00653608430688,0.037581687415,0.0228758754164,-1,0,0
2016-02-19,12.22,12.24,11.98,12.13,11.807399,121045600,13.4201010588,12.0522866571,11.8795797128,-0.0,0.26,0.0,0.12,0.414973347971,0.347708838975,0.0338004161628,0.00247327967828,0.0,0.0156637376276,0.0469908741121,0.0321517041984,0.0873864769032,1,1,1
2016-02-22,12.13,12.54,12.13,12.54,12.206494,88865500,13.3854265714,11.9359907477,11.7712430157,0.417935483871,0.41,0.3,0.0,0.380211241712,0.181845855439,-0.0303028863161,-0.0326953013699,-0.0175436943647,0.0127591919514,-0.00159480682987,0.0518340483353,0.0734470520364,-1,-1,-1
2016-02-23,12.47,12.48,12.1,12.16,11.836602,104498700,13.3424036667,11.9354405537,11.7448039079,0.0358549222798,0.44,0.0,0.03,0.243038048686,-0.170517199565,-0.00246717765791,0.0131579147461,0.0444077616194,0.0296052025742,0.0847037012818,0.106992108039,0.114421689603,-1,0,0
2016-02-24,11.96,12.15,11.65,12.13,11.807399,159552800,13.3009170541,12.0185038331,11.7255104802,0.000355029585799,0.51,0.0,0.45,0.243038048686,-0.170517199565,0.0156637376276,0.0469908741121,0.0321517041984,0.0873864769032,0.109730009124,0.117177966121,0.120488178641,1,1,0
2016-02-25,12.14,12.33,12.09,12.32,11.992347,102848900,13.266481,11.8566499468,11.7521331748,0.152212389381,0.24,0.18,0.0,0.243038048686,0.0535452132544,0.0308440040969,0.0162336863668,0.0706166190822,0.0926155655769,0.0999486589239,0.103207820788,0.102393051168,1,1,1
2016-02-26,12.49,12.95,12.4,12.7,12.362239,160314400,13.2432953077,11.9675941193,11.9430524924,0.350551181102,0.63,0.62,0.0,0.243038048686,-0.0724065310974,-0.0141731607033,0.0385825739172,0.0599232873592,0.0670369663618,0.0701986104621,0.0694082196599,0.0322596901742,-1,-1,0
2016-02-29,12.7,12.86,12.51,12.52,12.187027,123661100,13.2168886,12.142249803,12.0115841018,-0.0576397515528,0.35,0.0,0.0,0.19033169817,0.163016083094,0.0535141999767,0.0751617273023,0.0823776791501,0.0855847779774,0.0847830237842,0.0471004125945,0.0535142820312,1,1,1
2016-03-01,12.64,13.21,12.62,13.19,12.839206,153558200,13.2076768293,12.3972848618,12.0746217763,0.695798319328,0.69,0.35,0.0,0.113943352307,0.163016083094,0.0205479217329,0.0273973328257,0.0304415241877,0.0296804958188,-0.0060879932918,7.78864363597e-08,0.00989360245486,1,1,1
2016-03-02,13.2,13.51,13.13,13.41,13.103025,139622500,13.205185119,12.5580458634,12.1074176114,0.190660225443,0.38,0.3,0.0,0.193124598354,0.276298835653,0.00671150364133,0.0096944026284,0.0089486969612,-0.0260996220338,-0.0201341293327,-0.0104398030226,0.0283372732632,1,0,0
2016-03-03,13.38,13.55,13.25,13.5,13.190966,104572100,13.2048544419,12.9857913443,12.2037095614,0.0536170212766,0.3,0.04,0.0,0.269512944218,0.217875364377,0.00296301271643,0.00222227848969,-0.0325923817861,-0.0266666595911,-0.0170369630245,0.0214815958134,0.0103705066028,1,0,0
2016-03-04,13.76,13.89,13.49,13.54,13.230051,171410900,13.2054270909,13.1537080707,12.3323300987,-0.0241860465116,0.4,0.34,0.0,0.278753600953,0.0868389773196,-0.000738545905832,-0.0354503546509,-0.0295421385753,-0.0199408906285,0.0184638744023,0.00738561022932,0.00221571330299,-1,0,0
2016-03-07,13.45,13.62,13.37,13.53,13.22028,97650300,13.2057571556,13.2084346448,12.4055848093,-0.00683760683761,0.25,0.0,0.12,0.350248018334,0.200121729879,-0.0347374639569,-0.0288248811674,-0.0192165370174,0.0192166126587,0.008130160632,0.00295644267746,-0.0162601699813,-1,-1,-1
2016-03-08,13.4,13.47,13.05,13.06,12.761041,125894800,13.196089413,13.1396616996,12.5257649323,0.0563636363636,0.48,0.0,0.32,0.350248018334,0.148509550212,0.00612536234309,0.016079487559,0.0558957533323,0.0444103267124,0.0390504191625,0.0191422470941,0.026033612775,1,0,0
2016-03-09,13.17,13.27,13.0,13.14,12.839207,92253800,13.1884961702,13.0082007285,12.6696925532,-0.0151351351351,0.27,0.0,0.05,0.350248018334,-0.108331850392,0.00989352379785,0.04946738533,0.0380518827993,0.0327246067456,0.0129376370363,0.0197870475957,0.04946738533,1,0,0
2016-03-10,13.23,13.4,13.0,13.27,12.966232,123016200,13.1838656667,12.8232852247,12.8054589904,0.0629299363057,0.4,0.13,0.0,0.255272505103,-0.0724065310974,0.0391861722048,0.0278825027965,0.0226074159401,0.00301429127599,0.00979660089377,0.0391861722048,0.0429539591764,1,1,1
2016-03-11,13.44,13.84,13.37,13.79,13.474329,120400600,13.1897934898,12.9965668531,12.9216817005,0.505471698113,0.57,0.44,0.0,0.173186268412,-0.0724065310974,-0.0108774247682,-0.0159535959082,-0.0348078928457,-0.0282813340835,0.0,0.00362570930248,-0.00217547011061,-1,-1,0
2016-03-14,13.72,13.74,13.49,13.64,13.327763,87746800,13.19255288,13.1896791099,13.0738056045,0.0101234567901,0.3,0.0,0.0,0.139879086401,-0.108331850392,-0.0051319940188,-0.0241936324948,-0.0175953008768,0.0109970442902,0.0146626256784,0.00879765043841,-0.00146626256784,-1,0,0
2016-03-15,13.51,13.6,13.39,13.57,13.259365,80404000,13.1938629216,13.389251635,13.1256067356,0.00842105263158,0.25,0.0,0.1,0.103803720956,-0.108331850392,-0.0191599673137,-0.0125275984182,0.0162122394247,0.0198967295945,0.0140015000718,0.00368464100656,0.00810604429398,-1,-1,0
2016-03-16,13.51,13.81,13.09,13.31,13.005316,149645400,13.1902370192,13.2466718902,13.1226254945,-0.0751020408163,0.72,0.0,0.3,-0.0506099933551,-0.108331850392,0.00676192719962,0.036063176012,0.0398196399073,0.0338092515399,0.0232908604451,0.0277986324977,0.0232908604451,1,0,0
2016-03-17,13.22,13.48,13.05,13.4,13.093257,122212300,13.1884072075,13.1503723314,13.1089591564,0.0387719298246,0.43,0.0,0.04,-0.0506099933551,-0.108331850392,0.0291044466629,0.0328356802284,0.0268656606985,0.0164179164894,0.020895412043,0.0164179164894,0.00149252397627,1,1,1
2016-03-18,13.68,13.88,13.55,13.79,13.474329,146616200,13.1937020556,13.1197193618,13.1088164368,0.348444444444,0.48,0.4,0.0,-0.0506099933551,-0.146462520673,0.00362570930248,-0.00217547011061,-0.0123277381753,-0.00797687216929,-0.0123277381753,-0.0268310206764,-0.0224802288856,1,0,0
