Date,LH,PFE,WAT,MCO,EBAY,ZBH,CSCO,MRK,MDT,ABBV
2016-03-14,115.029999,28.185896,128.960007,91.491325,24.280001,103.535591,26.046997,50.754295,74.68499,53.699722
2016-03-15,112.580002,27.661507,129.160004,91.4132,23.58,102.806259,26.00938,50.123211,74.029938,52.207279
2016-03-16,114.07,27.193304,129.949997,92.507042,23.68,102.756973,26.216249,49.664246,73.837265,52.854942
2016-03-17,112.330002,27.474226,127.760002,95.222084,23.76,102.096626,26.507755,49.272209,72.729477,51.925682
2016-03-18,114.669998,27.577229,129.949997,94.792358,23.77,103.003372,26.639397,49.960659,73.461586,53.098991
2016-03-21,114.120003,28.157804,130.149994,93.698532,24.34,102.875244,26.507755,50.486557,72.450127,52.573349
2016-03-22,113.889999,28.44809,129.979996,93.669243,24.129999,102.904808,26.592382,50.706482,72.556625,53.971928
2016-03-23,113.919998,28.270172,130.649994,92.057785,24.17,102.924522,26.169235,50.754295,72.130615,52.901875
2016-03-24,114.019997,28.16717,129.830002,90.778389,24.33,102.244453,26.291475,50.744736,71.61747,52.676598
2016-03-28,114.129997,27.886246,129.940002,90.807686,24.120001,102.835823,26.235058,50.515247,71.627151,52.667213
2016-03-29,115.739998,28.139074,131.679993,93.288345,24.1,104.55468,26.423126,50.98378,73.079445,53.549538
2016-03-30,117.849998,28.157804,132.160004,93.620407,24.040001,105.404243,26.761639,50.888161,73.021347,53.502609
2016-03-31,117.129997,27.755146,131.919998,94.304047,23.860001,105.335091,26.771042,50.591743,72.614716,53.615242
2016-04-01,118.43,28.129711,133.410004,95.280678,23.879999,106.066101,26.977917,51.347126,72.972954,53.896835
2016-04-04,118.279999,28.766468,132.889999,94.001282,24.030001,105.562302,26.702728,52.016457,73.873367,55.577007
2016-04-05,117.300003,29.36577,131.009995,91.579216,24.389999,104.692986,26.171333,51.863468,73.089127,54.948116
2016-04-06,119.589996,30.835934,134.190002,92.233589,25.43,106.777359,26.569878,53.192566,74.851234,56.215282
2016-04-07,118.459999,30.676741,130.149994,90.690475,24.1,106.836624,26.19031,52.991764,73.71846,55.66148
2016-04-08,118.519997,30.433279,131.330002,91.129982,24.07,107.636795,26.275711,52.934395,73.941139,54.882412
2016-04-11,117.639999,29.862066,130.660004,91.774567,24.059999,107.972672,26.209286,52.637978,73.253723,54.910572
