Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow,FB,AMZN,ATVI,V,MSFT,HD,AIZ,FISV,MCD,GPN
2015-12-31,769.5,769.5,758.340027,758.880005,758.880005,1500900,758.880005,742.398999148,726.635847085,0.0,0.0,0.0,0.0,0.0,0.0,-0.0224541138095,-0.0214790057619,-0.0201085941117,-0.0428130795197,-0.0585204956085,-0.0564647582196,-0.0432347641048,-1,-1,-1,104.660004,675.890015,38.163872,76.402229,53.084164,127.218826,77.314865,91.459999,112.394363,64.447533
2016-01-04,743.0,744.059998,731.257996,741.840027,741.840027,3272800,750.360016,742.398999148,726.635847085,19.7414671693,27.622009,0.0,27.082031,0.0,0.0,0.000997506164493,0.00239939600886,-0.0208266087535,-0.0368948223388,-0.0347918649043,-0.0212579793837,-0.0556454592602,1,0,0,102.220001,636.98999,37.089252,74.579597,52.433533,126.08374,75.37574,89.5,111.86161,62.519413
2016-01-05,746.450012,752.0,738.640015,742.580017,742.580017,1950700,747.766683,742.398999148,726.635847085,-0.769578018287,13.359985,7.940002,0.0,0.0,0.0,0.00140049284413,-0.0218023669226,-0.0378545683381,-0.0357537065261,-0.0222333076868,-0.0565865200221,-0.0375179042826,1,0,0,102.730003,633.789978,36.616024,75.141167,52.672737,125.468063,76.633286,89.910004,113.402809,63.488461
2016-01-06,730.0,747.179993,728.919983,743.619995,743.619995,1947000,746.730011,742.398999148,726.635847085,1.22053712203,18.26001,0.0,9.720032,0.0,0.0,-0.0231704097736,-0.0392001616363,-0.0371022379515,-0.0236007478524,-0.0579059160452,-0.0388639684171,-0.0661224594963,-1,-1,-1,102.970001,632.650024,36.270962,74.155975,51.715916,124.169418,75.625328,89.230003,112.641731,63.688271
2016-01-07,730.309998,738.5,719.059998,726.390015,726.390015,2963700,742.6620118,739.882912511,726.635847085,2.35847315684,24.559997,0.0,9.859985,0.0,0.0,-0.0164099777721,-0.0142622913119,-0.000440545703261,-0.0355594329033,-0.0160658100456,-0.043970872865,-0.0338661552224,-1,-1,0,97.919998,607.940002,35.758301,72.697876,49.917099,120.629433,73.926216,88.209999,110.034988,61.300591
2016-01-08,731.450012,733.22998,713.0,714.469971,714.469971,2450900,737.963338333,732.895675029,726.635847085,-5.06692236066,20.22998,0.0,6.059998,0.0,2.43612041226,0.00218351794102,0.0162358622067,-0.0194689400039,0.000349909737494,-0.0280207143933,-0.0177474120882,-0.0224221585934,1,0,0,97.330002,607.049988,35.2062,71.801346,50.070198,119.186493,73.023849,87.529999,109.863731,60.121727
2016-01-11,716.609985,718.85498,703.539978,716.030029,716.030029,2089300,734.830008429,720.797915362,726.635847085,-0.785613107051,15.315002,0.0,9.460022,0.0,2.27629883565,0.014021727572,-0.0216052824231,-0.00182961321026,-0.0301384245436,-0.0198875053046,-0.0245520666564,-0.013183807407,1,1,0,97.510002,617.73999,35.699146,72.825943,50.041489,120.994965,74.300598,87.940002,111.014893,58.463341
2016-01-12,721.679993,728.75,717.317017,726.070007,726.070007,2024500,733.73500825,717.110576296,726.635847085,8.59263591767,12.719971,9.89502,0.0,0.0,2.41123881784,-0.0351343654938,-0.0156321510193,-0.0435495127125,-0.0334403415179,-0.0380404020738,-0.0268293412649,-0.00112937732188,-1,-1,-1,99.370003,617.890015,36.596306,73.653526,50.500759,122.639915,74.674973,89.309998,111.728409,58.463341
2016-01-13,730.849976,734.73999,698.609985,700.559998,700.559998,2501700,730.048896,716.23183516,726.635847085,-6.1417451531,36.130005,0.0,18.707032,0.0,2.34614487177,0.0202123630245,-0.00872157419413,0.00175570972295,-0.0030118562379,0.00860744121448,0.0352432369397,0.015858720212,1,1,1,95.440002,581.809998,34.368191,72.018089,49.409988,116.781601,75.30854,86.830002,109.52124,56.345394
2016-01-14,705.380005,721.924988,689.099976,714.719971,714.719971,2225800,728.5160035,716.118656224,726.635847085,6.34961253198,32.825012,0.0,9.510009,0.0,2.29031888305,-0.0283607004456,-0.0180909916116,-0.0227641029496,-0.0113750060581,0.0147330834834,-0.00426738880087,-0.00235056115425,-1,-1,-1,98.370003,593.0,34.900574,72.707733,50.816513,115.069313,76.15332,89.029999,110.948303,57.304462
