Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow,EQIX,AVY,MAS,STZ,BSX,AMZN,FB,GPN,BDX,FBHS
2016-01-19,103.940002,104.300003,102.93,103.860001,101.837631,1054400,103.213630583,101.337766381,102.893497095,0.740922938014,1.440002,1.0,0.0,1.01786767728,0.829483454472,-0.0209899324936,-0.0119392604488,0.00943567707305,0.00269582076197,0.00953194796921,-0.00847298775047,-0.0201233667739,-1,-1,-1,295.109985,56.805725,24.208925,142.697281,17.57,574.47998,95.260002,57.2645,138.571426,46.440884
2016-01-20,102.199997,102.82,98.400002,101.68,99.700066,886500,102.943356385,100.942729167,101.820686571,0.387636895193,5.459999,0.0,4.529998,1.01786767728,0.853538265827,0.00924471805264,0.0310779332884,0.0241935747565,0.0311762682283,0.0127853074841,0.000885144850355,0.0405194014616,1,0,0,294.359985,56.853886,23.768051,142.226913,17.540001,571.77002,94.349998,57.973812,136.976608,46.597282
2016-01-21,102.0,103.32,100.879997,102.620003,100.621765,863000,102.777528429,100.954435146,100.826121246,0.530102634393,2.440003,0.5,0.0,1.05230902264,1.10284000811,0.021633222196,0.0148119246368,0.0217306563843,0.00350815750449,-0.00828299920996,0.0309882061798,0.0419022464971,1,1,1,289.779999,56.728657,24.404873,140.570816,17.559999,575.02002,94.160004,57.234531,137.744843,46.607063
2016-01-22,103.870003,104.870003,103.709999,104.839996,102.798538,708800,102.778929067,100.56052698,100.517022523,2.30644033994,2.25,1.550003,0.0,1.00173371281,1.10284000811,-0.00667685565723,9.5371006152e-05,-0.0177412639857,-0.0292827413557,0.00915689092777,0.0198398249594,-0.0103967529188,-1,0,0,297.049988,58.510754,25.051489,145.774277,17.85,596.380005,97.940002,58.803017,140.769089,47.447701
2016-01-25,104.629997,104.699997,103.720001,104.139999,102.112167,1024000,102.737256438,101.568157959,100.65594373,0.0536329625557,1.119995,0.0,0.0,0.87679486085,1.16014184123,0.00681774778122,-0.0111387803571,-0.0227578364878,0.0159401768449,0.0266949187358,-0.00374490142786,-0.00931444340027,1,0,0,299.929993,56.025452,24.855543,145.274506,17.530001,596.530029,97.010002,57.604172,140.905258,46.470215
2016-01-26,104.309998,105.379997,104.010002,104.849998,102.808342,691100,102.741437941,102.589514371,100.921769706,0.56823059482,1.369995,0.68,0.0,0.810904347793,1.16014184123,-0.0178349340562,-0.0293753108089,0.00906065579776,0.0197425710844,-0.010491123376,-0.0160229507446,-0.0112541548428,-1,-1,0,303.640015,57.42223,25.14946,145.401917,17.379999,601.25,97.339996,58.603207,141.498444,46.753685
2016-01-27,104.709999,105.18,102.470001,102.980003,100.974762,827800,102.643289278,102.114103561,101.011737145,-0.201055229424,2.709999,0.0,1.540001,0.843855111524,1.20728372647,-0.011749936088,0.0273839813557,0.0382598673518,0.00747716543269,0.00184488674507,0.00670027823388,-0.0301030667445,-1,-1,0,299.570007,57.50893,25.247435,143.17749,17.219999,583.349976,94.449997,56.495243,142.013794,46.059662
2016-01-28,103.559998,103.68,101.650002,101.769997,99.788315,931500,102.493027474,101.682371093,101.280910839,-0.741261282994,2.029998,0.0,0.819999,0.843855111524,0.934535830899,0.0395992055783,0.0506044019282,0.0194557048087,0.0137564603631,0.0186695807019,-0.0185713427469,-0.0773312887386,1,1,1,300.220001,57.171776,24.904531,148.772858,16.9,635.349976,109.110001,55.795925,138.357483,45.72731
2016-01-29,102.760002,105.860001,102.220001,105.800003,103.739853,1238100,102.55536875,101.125492413,101.393901467,4.07105784657,4.090004,2.180001,0.0,0.843855111524,0.817929590823,0.0105859991917,-0.0193762179324,-0.0248583733775,-0.0201323979127,-0.055954783356,-0.112476513727,-0.118903629061,1,1,0,310.570007,58.655254,25.854858,149.419617,17.530001,587.0,112.209999,58.892918,141.362274,47.496586
2016-02-01,105.050003,107.389999,104.739998,106.919998,104.838043,986600,102.664067524,101.943095338,101.686573921,0.875039212479,2.650001,1.529998,0.0,0.872738769256,0.893145612552,-0.0296483596131,-0.0350730888786,-0.0303966185252,-0.0658437605517,-0.121773419597,-0.128133210194,-0.115974560876,-1,-1,-1,311.440002,58.790112,25.737291,151.261887,17.879999,574.809998,115.089996,59.562271,141.99437,47.046932
