Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow,O,T,SJM,NEM,SCG,GIS,AWK,TSN,CPB,REG
2015-12-31,46.52,46.650002,46.209999,46.220001,42.17601,11490900,42.17601,42.0689156053,41.7144012167,0.0,0.0,0.0,0.0,0.0,0.0,-0.00757259873563,0.00605787508112,-0.00303132041177,-0.00850682651109,-0.018143584469,-0.0124491387402,-0.0159533346089,-1,0,0,47.85994,31.185871,117.750534,17.833899,56.914455,54.101059,57.388065,52.196251,50.056568,64.199959
2016-01-04,45.669998,45.91,45.360001,45.869999,41.856628,17821600,42.016319,42.0689156053,41.7144012167,0.141404732044,0.86,0.0,0.849998,0.0,0.0,0.013734479519,0.00457593000564,-0.000941356288901,-0.0106516463772,-0.0049137498606,-0.00844468407727,-0.0256583975183,1,1,0,47.442791,31.131491,116.834045,18.279995,57.083817,53.913399,57.935532,51.834118,49.208801,63.65332
2016-01-05,46.200001,46.549999,45.630001,46.5,42.431507,15632800,42.154715,42.0689156053,41.7144012167,0.387904830412,0.919998,0.639999,0.0,0.0,0.0,-0.00903446582748,-0.0144770017242,-0.0240557329251,-0.0183955757216,-0.0218786714316,-0.0388591666094,-0.0231850355916,-1,0,0,48.471748,31.349005,117.712364,18.260168,57.450764,53.669453,57.772255,51.188148,49.389778,64.897362
2016-01-06,45.490002,45.950001,45.279999,45.52,42.048161,19082700,42.1280765,42.0689156053,41.7144012167,0.438030109772,1.220001,0.0,0.350002,0.0,0.0,-0.0054921545796,-0.0151582134591,-0.00944645355596,-0.0129613040627,-0.0300966075544,-0.0142795781247,-0.0239456607864,-1,0,0,48.759102,31.303053,116.853142,18.398952,57.403721,53.228455,57.52253,51.148998,49.30405,65.274338
2016-01-07,45.119999,45.669998,45.0,45.27,41.817226,19277600,42.0659064,42.199289563,41.7144012167,-0.024723008818,0.669998,0.0,0.279999,0.0,0.0,-0.00971943954389,-0.00397613653283,-0.00751039774853,-0.0247403306953,-0.00883595195913,-0.0185554154166,-0.00883595195913,-1,0,0,47.915554,30.797573,114.857857,18.696352,57.347263,52.112644,57.090317,51.060909,48.702217,64.671181
2016-01-08,45.66,45.740002,44.700001,44.830002,41.410786,16594800,41.9567196667,41.858460635,41.7144012167,-0.237726008821,1.040001,0.0,0.299999,0.0,0.311149933877,0.00579967257806,0.00223072317439,-0.0151683187081,0.000892158868948,-0.00892269951119,0.000892158868948,-0.00914570904305,1,0,0,47.433521,30.825142,114.600098,17.853729,57.112038,52.282852,57.311226,51.188148,48.980137,64.115135
2016-01-11,45.110001,45.23,44.599998,45.09,41.650955,14194500,41.913039,41.6613890724,41.7144012167,0.0268229024349,0.630002,0.0,0.100003,0.0,0.382235657092,-0.00354837001937,-0.0208470850188,-0.00487921585471,-0.0146374795008,-0.00487921585471,-0.0148592031083,0.0172987390085,-1,0,0,48.453197,31.201956,115.268356,16.862402,57.290813,52.869129,57.868298,51.59922,49.258053,64.492104
2016-01-12,45.240002,45.25,44.529999,44.93,41.503162,15123000,41.861804375,41.5017767689,41.7144012167,-0.0477390641432,0.720001,0.0,0.069999,0.0,0.414946038139,-0.0173603158236,-0.00133558498507,-0.0111285978644,-0.00133558498507,-0.011351111031,0.0209213457037,0.0469619640065,-1,-1,0,48.601517,31.156006,116.156212,16.862402,57.036766,53.304111,57.810677,52.440937,51.251373,64.171669
2016-01-13,45.110001,45.27,44.080002,44.150002,40.782654,19291000,41.7418987778,41.4437685233,41.7144012167,-0.272509568186,1.189998,0.0,0.449997,0.0,0.217876239496,0.016307840093,0.00634181385057,0.016307840093,0.00611536953922,0.0389579844411,0.0654586628913,0.0652319488575,1,1,0,48.0546,31.008955,113.759972,17.328327,56.669823,52.292305,57.714626,51.990715,50.59013,63.549652
2016-01-14,44.220001,45.189999,44.049999,44.869999,41.447731,18435000,41.712482,41.2714967965,41.7144012167,0.620143298117,1.14,0.0,0.030003,0.0,0.314903481801,-0.00980610977233,0.0,-0.0100289205216,0.022286696466,0.0483621407406,0.0481390645968,0.0753288038855,-1,0,0,48.434666,31.523624,114.848312,17.12015,57.535446,52.339584,58.4734,51.785179,51.260952,63.351749
