Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow,LH,PFE,WAT,MCO,EBAY,ZBH,CSCO,MRK,MDT,ABBV
2015-12-31,162.149994,164.110001,162.050003,162.330002,153.853424,1775900,153.853424,149.736218395,145.494634831,0.0,0.0,0.0,0.0,0.0,0.0,-0.024579439974,-0.0256265599913,-0.0345591723718,-0.0575987896116,-0.0715824108016,-0.0901866116415,-0.07108959759,-1,-1,-1,123.639999,29.926397,134.580002,97.562645,27.48,101.111046,25.341749,50.067657,74.097366,55.027214
2016-01-04,159.0,159.220001,156.089996,158.339996,150.071793,5083200,151.9626085,149.736218395,145.494634831,2.79165220423,6.240006,0.0,5.960007,0.0,0.0,-0.00107350619846,-0.010231209805,-0.0338513980439,-0.0481873898848,-0.0672603944967,-0.0476821583654,-0.0813440271217,-1,0,0,122.889999,29.620461,130.350006,94.528999,26.43,100.342285,24.833977,49.745384,72.989571,53.51313
2016-01-05,159.0,160.210007,157.25,158.169998,149.91069,2678900,151.278635667,149.736218395,145.494634831,-0.33452718885,2.960007,0.990006,0.0,0.0,0.0,-0.00916754502297,-0.0328131169298,-0.0471645150856,-0.0662580166898,-0.0466587406142,-0.0803567844294,-0.0316747391397,-1,0,0,122.0,29.833691,129.809998,95.841637,26.120001,102.431732,24.721138,50.380466,73.2015,53.290199
2016-01-06,155.009995,157.929993,154.899994,156.720001,148.536377,3826900,150.593071,149.736218395,145.494634831,0.045492245605,3.270004,0.0,2.350006,0.0,0.0,-0.0238643494045,-0.0383485319559,-0.0576186936349,-0.0378380778737,-0.071847908341,-0.0227154389258,-0.0345838716667,-1,-1,-1,120.839996,29.30525,129.710007,94.130348,26.41,102.875244,24.457848,49.688507,73.403778,53.299484
2016-01-07,153.059998,156.449997,152.889999,152.979996,144.991653,4162500,149.4727874,148.571973412,145.494634831,0.151337887318,3.830002,0.0,2.009995,0.0,0.0,-0.0148382886565,-0.0345795630042,-0.0143153551053,-0.0491566504177,0.00117699878903,-0.0109815907816,-0.0109815907816,-1,-1,0,118.589996,29.110558,128.820007,90.153557,25.690001,100.50985,23.89365,49.252476,71.679482,53.141571
2016-01-08,153.119995,154.860001,150.460007,150.710007,142.840225,4179600,148.367360333,146.386124122,145.494634831,-1.0000907467,4.399994,0.0,2.429992,0.0,1.5022002773,-0.0200386130728,0.000530809861158,-0.0348352573654,0.0162565061767,0.0039147866086,0.0039147866086,0.0285979037067,-1,-1,-1,116.25,28.739725,126.720001,87.586632,25.75,100.086037,23.301247,48.418339,71.072586,51.692516
2016-01-11,151.330002,151.589996,144.169998,147.690002,139.977905,4735400,147.168866714,143.396562975,145.494634831,-0.468337972372,7.419998,0.0,6.290009,0.0,1.41494571951,0.0209900341057,-0.0150992115506,0.0370372952789,0.024443207662,0.024443207662,0.0496310542725,0.0344641463237,1,1,1,115.620003,28.804619,126.080002,88.345047,26.1,98.361267,23.762003,48.579475,70.32122,50.048382
2016-01-12,148.429993,151.240005,146.919998,150.789993,142.916046,4410600,146.637264125,141.975059323,145.494634831,2.33889610979,4.320007,0.0,0.0,0.0,1.72425797982,-0.0353473045287,0.0157173533894,0.00338218145218,0.00338218145218,0.0280522034594,0.0131971045435,0.0350818829679,-1,-1,-1,115.120003,28.739725,126.82,88.646469,26.209999,101.387016,23.837233,49.062901,73.634987,50.940117
2016-01-13,151.139999,152.830002,145.279999,145.460007,137.864349,3982100,145.662495778,140.486684204,145.494634831,-1.26643945953,7.550003,0.0,1.639999,0.0,1.62899447619,0.0529357956059,0.040148631899,0.040148631899,0.0657226256514,0.0503231984942,0.0730098903234,0.0547917794179,1,1,1,111.769997,28.155659,123.919998,84.698845,25.41,99.741089,23.131989,48.02021,71.910675,48.039711
2016-01-14,146.020004,155.300003,144.570007,153.160004,145.162308,5649000,145.612477,141.782717365,145.494634831,6.94049205739,10.729996,2.470001,0.0,0.0,1.55829051988,-0.0121442957493,-0.0121442957493,0.0121439788626,-0.00248125016034,0.0190648801203,0.00176267519803,0.00404777940015,-1,-1,0,111.690002,28.841703,127.029999,85.68087,25.860001,101.219467,23.188408,49.100819,72.045532,51.212318
