Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow,AMZN,EQIX,ATVI,AVY,V,FISV,GOOGL,GOOG,INFO,RTN
2015-12-31,106.0,106.169998,104.620003,104.660004,104.660004,18391100,104.660004,102.516414309,99.6035582479,0.0,0.0,0.0,0.0,0.0,0.0,-0.0233136146259,-0.0184406738605,-0.0161475533672,-0.0643990611734,-0.0700363244779,-0.0683164697758,-0.0505446282995,-1,-1,-1,675.890015,302.399994,38.163872,60.360294,76.402229,91.459999,778.01001,758.880005,30.17,119.4356
2016-01-04,101.949997,102.239998,99.75,102.220001,102.220001,37912400,103.4400025,102.516414309,99.6035582479,1.97643273152,4.910004,0.0,4.870003,0.0,0.0,0.00498925841333,0.00733711595248,-0.0420661608094,-0.0478379862274,-0.0460770783988,-0.0278810210538,-0.0663275184276,1,0,0,636.98999,296.079987,37.089252,58.953873,74.579597,89.5,759.440002,741.840027,29.540001,118.230263
2016-01-05,102.889999,103.709999,101.669998,102.730003,102.730003,23258200,103.203336,102.516414309,99.6035582479,0.234489759279,2.040001,1.470001,0.0,0.0,0.0,0.00233620162554,-0.0468218130978,-0.0525649843503,-0.0508128185298,-0.0327070953166,-0.0709627254659,-0.0424413498752,1,0,0,633.789978,303.410004,36.616024,59.406628,75.141167,89.910004,761.530029,742.580017,29.75,121.315948
2016-01-06,101.129997,103.769997,100.900002,102.970001,102.970001,25096200,103.14500225,102.516414309,99.6035582479,0.274392453792,2.869995,0.0,0.769996,0.0,0.0,-0.0490434393606,-0.0547732246793,-0.0530251427306,-0.0349616195498,-0.0731280851401,-0.0446731859311,-0.0776925310509,-1,-1,-1,632.650024,309.130005,36.270962,58.713055,74.155975,89.230003,759.330017,743.619995,29.33,121.325607
2016-01-07,100.5,101.43,97.300003,97.919998,97.919998,45172900,102.1000014,101.907511358,99.6035582479,1.31520906981,5.669998,0.0,3.599999,0.0,0.0,-0.00602528607078,-0.00418705073911,0.0148080579005,-0.0253267570532,0.00459563939125,-0.030126603965,-0.0271649923849,-1,0,0,607.940002,303.290009,35.758301,56.950214,72.697876,88.209999,741.0,726.390015,28.9,118.606331
2016-01-08,99.879997,100.5,97.029999,97.330002,97.330002,35402300,101.3050015,100.367795243,99.6035582479,-1.52820965046,3.470001,0.0,0.270004,0.0,1.35617175149,0.00184937836537,0.0209596317485,-0.0194184728364,0.0106853074964,-0.0242474155091,-0.0212678512017,-0.0306175273684,1,0,0,607.049988,309.790009,35.2062,57.499287,71.801346,87.529999,730.909973,714.469971,28.51,117.43956
2016-01-11,97.910004,98.599998,95.389999,97.510002,97.510002,29873100,100.762858714,97.662361675,99.6035582479,-0.216397012336,3.209999,0.0,1.64,0.0,1.18554410422,0.0190749765342,-0.0212285915039,0.00881961831977,-0.02604862012,-0.0230745559825,-0.032406972979,-0.0343554295076,1,1,0,617.73999,312.880005,35.699146,57.518559,72.825943,87.940002,733.070007,716.030029,28.209999,119.117401
2016-01-12,99.0,99.959999,97.550003,99.370003,99.370003,28395400,100.58875175,97.7653978411,99.6035582479,1.36344985571,2.449997,1.360001,0.0,0.0,1.32086342655,-0.0395491685756,-0.0100633991125,-0.0442789762218,-0.0413605804158,-0.0505183138618,-0.0524302993128,-0.0143906707943,-1,-1,-1,617.890015,314.920013,36.596306,57.701591,73.653526,89.309998,745.340027,726.070007,28.41,120.438461
2016-01-13,100.580002,100.580002,95.209999,95.440002,95.440002,33410600,100.016668444,97.6956965476,99.6035582479,-0.946216759424,5.370003,0.0,2.340004,0.0,1.32086342655,0.0306999260122,-0.00492457030753,-0.00188600163692,-0.0114208296014,-0.0134115462403,0.0261944671795,0.0164501253887,1,1,1,581.809998,305.579987,34.368191,56.516731,72.018089,86.830002,719.570007,700.559998,27.91,116.976692
2016-01-14,95.849998,98.870003,92.449997,98.370003,98.370003,48658600,99.8520019,97.9763991387,99.6035582479,1.29362587048,6.420006,0.0,2.760002,0.0,1.13565739529,-0.0345634024226,-0.0316153390785,-0.040866167301,-0.0427975894237,-0.00437126143017,-0.0138253630022,-0.0104707427934,-1,-1,-1,593.0,310.98999,34.900574,57.730488,72.707733,89.029999,731.390015,714.719971,27.93,117.188828
