Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow,CFG,PRU,PNC,RF,MTB,SCHW,HBAN,RJF,USB,KEY
2016-01-15,14.41,14.66,14.13,14.46,14.075431,172296100,15.1709542727,14.4508399384,15.2342350298,0.213714285714,0.86,0.0,0.52,0.38381536598,0.158218106089,-0.0152143831333,-0.0532503054436,-0.0760719867122,-0.062240580768,-0.103734443372,-0.0795296428223,-0.0760719867122,-1,-1,0,21.496216,66.264023,82.965714,7.867571,100.635567,26.55802,9.150397,47.127426,37.475452,11.04793
2016-01-19,14.69,14.79,14.01,14.24,13.861282,185727400,15.0618149167,14.2968257271,15.0221197989,-0.120063091483,0.78,0.13,0.0,0.390935107103,0.230865418021,-0.0386235558875,-0.0617978192782,-0.0477527259023,-0.089887645313,-0.0653088942278,-0.0617978192782,-0.0498595295875,-1,-1,-1,21.409538,65.433014,82.004677,7.752437,102.426949,26.05674,9.054879,47.273968,37.552235,10.875154
2016-01-20,13.79,14.0,13.27,13.69,13.32591,250537600,14.9282837692,13.8699917649,14.754201272,0.184615384615,0.97,0.0,0.74,0.411619705963,0.280269040437,-0.0241052956233,-0.00949593686285,-0.0533236379354,-0.0277574289486,-0.0241052956233,-0.0116873819499,0.0328707007626,-1,-1,-1,20.802792,63.610447,80.889877,7.579733,100.866714,24.83794,8.844747,46.179798,37.302711,10.750374
2016-01-21,13.67,13.84,13.25,13.36,13.004685,188976000,14.7908838571,13.5372135819,14.4959571815,-0.0902654867257,0.59,0.0,0.02,0.480007086763,0.503859272825,0.0149702203475,-0.0299400562182,-0.00374234362462,0.0,0.0127246450029,0.0583833441564,0.0449103534611,1,1,0,20.542753,64.337585,80.85144,7.512571,98.468544,23.963156,8.596406,43.659298,36.966827,10.721579
2016-01-22,13.65,13.72,13.47,13.56,13.199368,169999800,14.6847828,13.203653225,14.3175005449,0.0817582417582,0.36,0.0,0.0,0.429752280002,0.414945719506,-0.0442478761104,-0.0184365645385,-0.0147494183055,-0.00221245441448,0.0427728054858,0.0294985335662,-0.0243364682309,-1,-1,-1,20.013054,65.980743,82.398705,7.608518,100.722237,25.388365,8.739678,44.411537,37.782555,10.865556
2016-01-25,13.54,13.55,12.94,12.96,12.615324,186419100,14.555441625,12.9919436254,14.135548479,0.0103546099291,0.62,0.0,0.53,0.429752280002,0.268281499454,0.0270062822009,0.0308641300057,0.0439815101063,0.0910494252863,0.0771606024546,0.0208332342475,0.00540120887898,1,1,1,19.059591,64.101509,79.505997,7.263112,98.035156,24.739651,8.405375,41.812889,36.746101,10.414426
2016-01-26,13.07,13.35,13.04,13.31,12.956017,123553300,14.4613578235,12.9746100218,13.9331031493,0.412195121951,0.39,0.0,0.0,0.42160392687,0.382236328806,0.00375640136934,0.0165288452462,0.0623590567996,0.0488354561437,-0.00601072073308,-0.0210369436842,-0.00450786688532,1,0,0,19.541142,65.263031,81.158966,7.502977,101.781662,25.014864,7.689007,42.174358,37.446671,10.500811
2016-01-27,13.2,13.73,13.19,13.36,13.004685,124095800,14.3804315556,12.7925306791,13.7096733899,0.0886666666667,0.54,0.38,0.0,0.42160392687,0.0362045082161,0.0127246450029,0.0583833441564,0.0449103534611,-0.00973057017529,-0.0247005598367,-0.00823334052305,-0.0306884788059,1,1,0,20.427185,64.696434,81.735588,7.627706,103.58268,24.818281,7.889589,42.447903,37.600216,10.481614
2016-01-28,13.59,13.71,13.26,13.53,13.170165,110996200,14.3167333158,13.010868462,13.5394478892,0.0857142857143,0.45,0.0,0.0,0.411619705963,-0.0654641691014,0.0450850084262,0.031781302664,-0.0221730707246,-0.036954966016,-0.0206946534079,-0.0428676482033,-0.0931263959108,1,1,1,20.93762,65.008064,81.601044,7.685275,104.208694,24.395634,8.099725,41.734734,37.638603,10.635191
2016-01-29,13.66,14.15,13.59,14.14,13.763942,159984100,14.28909375,13.1969873663,13.3681139166,0.600231884058,0.62,0.44,0.0,0.354108439147,-0.146462520673,-0.0127297833717,-0.0643565629672,-0.0785007667135,-0.0629419246318,-0.0841583755584,-0.13224895891,-0.137199357568,-1,-1,0,20.465708,66.179039,83.273239,7.790815,106.115662,25.093494,8.195241,42.799599,38.444733,10.711978
2016-02-01,14.05,14.09,13.8,13.96,13.58873,105739400,14.2557430952,13.4305594406,13.25692189,0.00853658536585,0.34,0.0,0.0,0.267171728403,0.118439088663,-0.0522924511709,-0.0666190291514,-0.0508595726017,-0.0723495867531,-0.121060246248,-0.126074474951,-0.141833931501,-1,-1,-1,20.013054,65.697426,82.735054,7.618112,104.170189,24.847769,8.252549,43.229446,38.195213,10.635191
2016-02-02,13.74,13.75,13.13,13.23,12.878142,147101200,14.1931248636,13.5450720404,13.1291988843,0.236066945607,0.83,0.0,0.67,0.267171728403,0.0648425232921,-0.0151170875426,0.00151194170712,-0.0211638449087,-0.0725622531573,-0.0778531561463,-0.094482185396,-0.156462554924,-1,-1,0,19.55821,63.487679,80.534302,7.32068,101.666077,23.697773,8.032864,40.933651,37.187553,10.328038
2016-02-03,13.28,13.29,12.52,13.03,12.683462,257664600,14.1274873478,13.2017673857,13.0690306309,-0.0281712062257,0.77,0.0,0.61,0.0827853703165,0.0123040641352,0.016884270241,-0.00613956977992,-0.0583268984446,-0.0636990121467,-0.0805832823877,-0.143514996142,-0.0828857294641,1,1,0,19.403372,63.072178,80.582352,7.502977,102.253578,23.963156,8.137933,40.738262,37.696186,10.347234
2016-02-04,12.89,13.59,12.89,13.25,12.897613,174899200,14.0762425833,12.8219650142,13.0704174656,0.197647058824,0.7,0.3,0.0,0.212187604404,0.303571831534,-0.0226415539061,-0.0739623680754,-0.079245283604,-0.0958492086869,-0.157736008981,-0.0981134261045,-0.0754717171309,-1,-1,-1,19.577564,63.251606,81.581825,7.579733,104.199081,24.543066,8.281204,42.272049,38.492718,10.472017
2016-02-05,13.32,13.39,12.89,12.95,12.605591,125842800,14.01741652,12.7347390915,13.0210193026,-0.0624858757062,0.5,0.0,0.0,0.212187604404,0.303571831534,-0.0525097157285,-0.0579150156466,-0.0749035884156,-0.13822406264,-0.0772202588518,-0.0540540304695,-0.0301157637115,-1,-1,-1,19.209822,61.71233,80.313263,7.483788,103.823448,23.943499,8.195241,42.399055,38.473526,10.366432
2016-02-08,12.67,12.7,12.13,12.27,11.943675,221363600,13.9376572308,12.6301637632,13.0299612247,0.339441535777,0.82,0.0,0.76,0.212187604404,0.280269040437,-0.00570486052241,-0.0236349364831,-0.0904646183022,-0.026079996316,-0.00162990034474,0.0236350202094,-0.0024449761066,-1,0,0,18.580784,59.804775,78.583412,7.224735,101.993546,23.206326,8.032864,40.972717,37.9361,10.126469
2016-02-09,11.99,12.43,11.96,12.2,11.875538,246411200,13.8612824444,12.266226935,12.9763382256,-0.0187387387387,0.47,0.0,0.17,0.305351369447,0.299748219871,-0.0180329514334,-0.0852460747463,-0.0204920400238,0.00409834063939,0.029508221017,0.0032785883048,-0.00573776110185,-1,-1,0,18.919495,60.050301,78.996651,7.339869,103.55378,22.940939,8.071071,41.422119,37.811352,10.212855
2016-02-10,12.42,12.54,11.91,11.98,11.661387,227530000,13.78271475,11.8701466428,12.8955369149,-0.128693528694,0.63,0.11,0.0,0.34044411484,0.303571831534,-0.0684474325395,-0.00250424756506,0.022537713567,0.0484142237969,0.0217029072099,0.012520980566,0.0467446110827,-1,-1,-1,18.251751,60.494141,78.333542,7.205544,101.579414,22.369385,7.994658,40.8848,37.465858,10.097672
2016-02-11,11.46,11.55,10.99,11.16,10.863195,375088700,13.6820416552,11.6211281769,12.7302164345,0.688,0.99,0.0,0.92,0.350248018334,0.322344707682,0.0707884742932,0.0976704367362,0.125448268212,0.0967742915413,0.0869177069914,0.123655977822,0.089605958468,1,1,1,17.554972,54.771465,75.123711,6.792977,97.062408,21.896376,7.650801,39.497551,35.939972,9.598548
2016-02-12,11.48,12.03,11.4,11.95,11.632184,245388400,13.6137130667,11.4107444899,12.4857922657,0.816296296296,0.87,0.48,0.0,0.499687082618,0.543959310633,0.0251048298411,0.0510463039443,0.0242679276738,0.0150629494857,0.0493724996097,0.0175734840508,0.0150629494857,1,1,1,18.280781,58.208843,77.776131,7.291896,102.02243,22.487638,8.061518,40.054401,37.523441,10.068876
2016-02-16,12.38,12.39,12.11,12.25,11.924208,194306700,13.5592129032,11.2971171495,12.260180553,0.216544502618,0.44,0.36,0.0,0.491361693834,0.33334207326,0.0253061670846,-0.000816406422968,-0.00979595458248,0.0236733542387,-0.0073469030396,-0.00979595458248,0.0057143417827,1,1,1,18.735626,59.908646,80.024948,7.522166,104.863609,23.236568,8.348064,41.246265,38.569489,10.472017
2016-02-17,12.57,12.69,12.47,12.56,12.225964,221859400,13.517548875,11.8325278717,12.1499462092,0.268683473389,0.44,0.3,0.0,0.440909082065,0.272303098831,-0.0254778273517,-0.0342357461547,-0.00159251245955,-0.0318471410516,-0.0342357461547,-0.0191082682723,0.0111463603197,-1,-1,-1,19.01627,62.892742,80.784172,7.502977,104.526527,24.123459,8.37672,42.311131,38.502312,10.491213
2016-02-18,12.71,12.74,12.1,12.24,11.914473,161539400,13.4689708182,12.0150923402,12.0428991734,-0.104941176471,0.64,0.0,0.37,0.414973347971,0.329697869649,-0.00898688511024,0.0245097705958,-0.00653583251227,-0.00898688511024,0.00653608430688,0.037581687415,0.0228758754164,-1,0,0,18.493685,62.458355,79.361839,7.311085,102.243965,23.808123,8.137933,42.223202,37.89772,10.212855
2016-02-19,12.22,12.24,11.98,12.13,11.807399,121045600,13.4201010588,12.0522866571,11.8795797128,-0.0,0.26,0.0,0.12,0.414973347971,0.347708838975,0.0338004161628,0.00247327967828,0.0,0.0156637376276,0.0469908741121,0.0321517041984,0.0873864769032,1,1,1,18.619493,62.382,79.592491,7.339869,103.101135,24.084042,8.281204,42.858212,37.868923,10.270446
2016-02-22,12.13,12.54,12.13,12.54,12.206494,88865500,13.3854265714,11.9359907477,11.7712430157,0.417935483871,0.41,0.3,0.0,0.380211241712,0.181845855439,-0.0303028863161,-0.0326953013699,-0.0175436943647,0.0127591919514,-0.00159480682987,0.0518340483353,0.0734470520364,-1,-1,-1,19.16143,63.069195,81.158966,7.579733,105.402962,24.182587,8.443581,43.219681,38.60788,10.491213
2016-02-23,12.47,12.48,12.1,12.16,11.836602,104498700,13.3424036667,11.9354405537,11.7448039079,0.0358549222798,0.44,0.0,0.03,0.243038048686,-0.170517199565,-0.00246717765791,0.0131579147461,0.0444077616194,0.0296052025742,0.0847037012818,0.106992108039,0.114421689603,-1,0,0,18.745302,61.647083,79.582886,7.263112,102.060966,23.778559,8.223895,42.438126,37.302711,10.203257
2016-02-24,11.96,12.15,11.65,12.13,11.807399,159552800,13.3009170541,12.0185038331,11.7255104802,0.000355029585799,0.51,0.0,0.45,0.243038048686,-0.170517199565,0.0156637376276,0.0469908741121,0.0321517041984,0.0873864769032,0.109730009124,0.117177966121,0.120488178641,1,1,0,18.387234,61.76162,79.092766,7.119193,100.982277,23.335114,8.157035,41.930119,36.890053,10.11687
2016-02-25,12.14,12.33,12.09,12.32,11.992347,102848900,13.266481,11.8566499468,11.7521331748,0.152212389381,0.24,0.18,0.0,0.243038048686,0.0535452132544,0.0308440040969,0.0162336863668,0.0706166190822,0.0926155655769,0.0999486589239,0.103207820788,0.102393051168,1,1,1,18.561428,63.059647,79.707817,7.205544,101.406052,23.739143,8.252549,43.082909,37.561832,10.260848
2016-02-26,12.49,12.95,12.4,12.7,12.362239,160314400,13.2432953077,11.9675941193,11.9430524924,0.350551181102,0.63,0.62,0.0,0.243038048686,-0.0724065310974,-0.0141731607033,0.0385825739172,0.0599232873592,0.0670369663618,0.0701986104621,0.0694082196599,0.0322596901742,-1,-1,0,19.103369,63.93774,80.697685,7.435815,103.015518,25.089188,8.548648,43.923073,37.70578,10.362345
2016-02-29,12.7,12.86,12.51,12.52,12.187027,123661100,13.2168886,12.142249803,12.0115841018,-0.0576397515528,0.35,0.0,0.0,0.19033169817,0.163016083094,0.0535141999767,0.0751617273023,0.0823776791501,0.0855847779774,0.0847830237842,0.0471004125945,0.0535142820312,1,1,1,18.609816,63.078735,78.141342,7.215139,99.428162,24.685156,8.357616,42.828903,36.966827,10.198016
2016-03-01,12.64,13.21,12.62,13.19,12.839206,153558200,13.2076768293,12.3972848618,12.0746217763,0.695798319328,0.69,0.35,0.0,0.113943352307,0.163016083094,0.0205479217329,0.0273973328257,0.0304415241877,0.0296804958188,-0.0060879932918,7.78864363597e-08,0.00989360245486,1,1,1,19.616276,67.106468,81.187798,7.656491,101.997475,26.005642,8.768333,44.714397,38.291187,10.536338
2016-03-02,13.2,13.51,13.13,13.41,13.103025,139622500,13.205185119,12.5580458634,12.1074176114,0.190660225443,0.38,0.3,0.0,0.193124598354,0.276298835653,0.00671150364133,0.0096944026284,0.0089486969612,-0.0260996220338,-0.0201341293327,-0.0104398030226,0.0283372732632,1,0,0,20.284019,67.535965,82.302597,7.790815,105.565453,26.350544,8.8734,45.056316,38.895779,10.932659
